fta params:,lower,upper,delta,eta
,-1,1,0.1,0.1
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,use_target,input_dims,lr,seed
,0.99,0.1,64,4,0.1,False,8,0.0001,270
Performance logging begins:
Episode,Step,Score
41,5000,-485.11429525824224
50,6000,-539.8158798210297
57,7000,-331.9006327138789
60,8000,-199.5682439702705
65,9000,-411.63310370992235
70,10000,-173.54026425884533
75,11000,-127.76919816649585
79,12000,-413.81955665372686
83,13000,-206.23857913508323
89,14000,-338.38147883902656
94,15000,-101.24013384760111
99,16000,-40.8235650890572
103,17000,-260.23712352968033
106,18000,-266.57817063709126
108,19000,-303.77944710433286
111,20000,-113.90515732353653
112,21000,-226.48191367852547
113,22000,-159.50594498727318
114,23000,-154.2663991264333
115,24000,-154.22723316541703
116,25000,-113.89412965311453
117,26000,-103.05689238774028
118,27000,-114.51923769595486
119,28000,-85.79224092260048
120,29000,-100.44208078199382
121,30000,-78.99152989948568
122,31000,-100.65609663956072
123,32000,-49.20675104700791
124,33000,-68.62351522078353
125,34000,-78.93483012220777
126,35000,-122.09227441773679
127,36000,-147.04293472180674
129,37000,-108.80593993951338
130,38000,-129.845764713513
131,39000,-70.5387250042172
133,40000,-78.48636552127708
134,41000,-107.46747118858536
135,42000,-90.27767882812395
138,43000,-125.71157616463125
139,44000,-115.35851557940391
140,45000,-71.4872925236315
141,46000,-68.29334991901342
142,47000,-108.90369402103383
143,48000,-79.94793996607811
144,49000,-122.02953083276047
145,50000,-87.75292884758831
146,51000,-127.10870765639807
147,52000,-3.658515953848811
148,53000,-153.6703101027592
149,54000,-60.34097437618632
150,55000,-137.77674695648741
151,56000,-26.712164292585715
152,57000,-48.61688435615125
153,58000,31.229241722393763
154,59000,-165.12160715635264
155,60000,-26.758192852873933
156,61000,-72.59192414397921
157,62000,-45.86590877663266
158,63000,-31.170590966816434
159,64000,3.587824514588017
160,65000,7.2639897274284175
161,66000,-81.73092358526131
162,67000,-56.108139854731796
163,68000,-30.81643628320659
164,69000,-34.85079718072014
165,70000,-20.72908078616973
166,71000,16.405832943370378
167,72000,-40.80193168490257
168,73000,-54.364702032364185
169,74000,5.516576843574619
170,75000,3.466242765928956
171,76000,-12.743573648685183
172,77000,-31.57382361026
173,78000,-69.94924197003259
174,79000,-10.867223724973398
175,80000,-65.70946632941208
176,81000,-40.49114952434687
177,82000,-10.13618661495309
178,83000,-14.320031884624854
179,84000,-34.36341126823744
180,85000,-11.82996422353449
181,86000,-23.046651286848295
182,87000,-64.72990506612183
183,88000,-27.03842971886172
184,89000,-32.65549701617565
185,90000,-19.52199814227174
186,91000,-58.09018470255847
187,92000,-13.656479872542638
188,93000,-38.51108219834672
189,94000,-17.950070948764015
190,95000,-25.737428977992252
191,96000,-60.05713053039024
192,97000,-27.31086644918725
193,98000,21.804834206049467
194,99000,-4.482548392396625
195,100000,-25.99242249117558
196,101000,-31.955165282621053
197,102000,-18.947090215458932
198,103000,-14.98232345961025
199,104000,-16.491782348797297
200,105000,-34.0054809443951
201,106000,-76.81132488589778
202,107000,-24.59589644561507
203,108000,-65.69579409091833
204,109000,-18.279871929823763
205,110000,-16.878538262867725
206,111000,-36.16325528948306
207,112000,-63.35271997043155
208,113000,2.319587934569614
209,114000,-107.07459870864724
210,115000,-50.57967289404347
211,116000,-4.3913995731303315
212,117000,-33.676480436014145
213,118000,-43.368052656087634
214,119000,-35.16875250516578
215,120000,-46.233222466618734
216,121000,21.69654355543495
217,122000,-15.135915794356505
218,123000,-53.09609446668088
219,124000,-18.859398787513506
220,125000,-55.980174598061
221,126000,-89.90540478168374
222,127000,-26.51207890962652
223,128000,11.561465266432325
224,129000,-1.289271443113994
225,130000,-22.92631549160799
226,131000,-71.93096979768721
227,132000,-68.09596021399524
228,133000,-10.712391827087991
229,134000,-68.43551429368895
230,135000,21.25421774715117
232,136000,-48.43827081245949
233,137000,-49.78328069619611
234,138000,-92.55557108824165
235,139000,-48.58904390519706
236,140000,19.253075165406102
237,141000,-95.93276120107048
239,142000,43.747385299918385
240,143000,-31.110757178210058
241,144000,-29.83519668330697
242,145000,-16.30100879736716
244,146000,-19.30634842153431
245,147000,-22.71754405003383
246,148000,-3.7356011300387157
247,149000,7.236577138380086
248,150000,-43.10619134187528
