fta params:,lower,upper,delta,eta
,-1,1,0.1,0.1
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,60
Performance logging begins:
Episode,Step,Score
59,5000,-115.07503329075192
66,6000,-251.8637969485358
70,7000,-279.2056420023583
75,8000,-569.6540432384193
81,9000,-321.7513920179199
85,10000,-33.26085024053796
89,11000,-155.47269559837395
91,12000,-199.813587451043
93,13000,178.1842842575836
95,14000,-172.56178839536818
97,15000,-127.08563510554532
99,16000,-91.24225374407385
101,17000,-157.71614764408258
102,18000,-67.37127105386348
103,19000,-777.6457585151262
104,20000,-46.18196938885636
105,21000,-352.4092092010642
107,22000,-131.93484817138724
108,23000,-114.85273944747905
109,24000,-78.15336670360044
110,25000,-159.9482862372358
111,26000,-81.90219682360483
112,27000,-122.07428022854896
113,28000,-44.21709626487005
114,29000,-146.10319139315038
115,30000,-78.07657588634653
116,31000,-104.635148784651
117,32000,-102.07313144926283
118,33000,-61.01154002367417
119,34000,-31.24079465491999
120,35000,-91.67066779360184
121,36000,-80.2049109609794
122,37000,-147.40681777986032
123,38000,-15.90644725389069
124,39000,-62.193240697100556
125,40000,-68.27800107567508
126,41000,-39.57273499407828
127,42000,-85.78043145739233
128,43000,-106.02425368252449
129,44000,-39.58000784450486
130,45000,-58.80089821737108
131,46000,-252.5566849867711
132,47000,-95.30358467535343
133,48000,-106.33230647303658
134,49000,-29.570687146570812
135,50000,-125.53858948772312
136,51000,-79.40625343644032
137,52000,-84.86550496149313
138,53000,-73.69446811707954
139,54000,-47.37218240819029
140,55000,-77.44062299445956
141,56000,-61.07479533560648
142,57000,-53.71067860038351
143,58000,-85.40500433491475
144,59000,-38.974303621773146
145,60000,-24.419779348854004
146,61000,-32.299471416317246
147,62000,-76.18615388145273
148,63000,-25.07650152125406
149,64000,-38.91269460351824
150,65000,-78.26301058255032
151,66000,-62.377430322923544
152,67000,-46.01298359306071
153,68000,-31.298943116711225
154,69000,-39.464739368765706
155,70000,-76.44639695487888
156,71000,-87.15534139248234
158,72000,-88.36231006269367
159,73000,-70.38573128959885
160,74000,-41.70145037154216
161,75000,-113.08038274647275
162,76000,-34.511077924482656
163,77000,-74.38063616751694
164,78000,-64.71058826990873
165,79000,-34.62776047289063
166,80000,-97.7715033295297
167,81000,-113.23764443993771
168,82000,-37.440888835610366
169,83000,-30.421690434165757
170,84000,-129.40541141497752
171,85000,-56.167838019014766
172,86000,-120.7892530988642
173,87000,-53.24363927809418
174,88000,-113.07155678211186
175,89000,-71.86839599987822
176,90000,-60.13056649274403
177,91000,-45.44125400649035
178,92000,-24.19316379794084
179,93000,-106.99155830443539
180,94000,-53.78379995180488
181,95000,-19.72325396384618
182,96000,-85.38223339493325
183,97000,-37.35421231354656
184,98000,-20.18710401302309
185,99000,-54.932619170925335
186,100000,-17.148483716064938
187,101000,-69.02001680332386
188,102000,-17.570681722065785
190,103000,-70.89972031055767
191,104000,-19.777336522971083
193,105000,-96.24541562702552
194,106000,-80.30184730663139
195,107000,-60.22251257852813
196,108000,164.751805196083
197,109000,-17.847805855773867
198,110000,-44.66691397196226
199,111000,-55.903516808045936
200,112000,152.82849115553427
201,113000,-144.9697194509476
202,114000,-123.44976784249494
203,115000,22.76499559237746
204,116000,-80.27339345938684
205,117000,-25.62105505259283
206,118000,-25.543927511572804
207,119000,-61.94593922733028
208,120000,-21.845272097560834
209,121000,-28.65732901461954
210,122000,2.584987869282952
212,123000,-20.376616885455945
213,124000,70.89333947823263
214,125000,-55.428447950823944
216,126000,226.8160984240706
218,127000,-86.0890073386925
219,128000,34.78983533420558
220,129000,-79.36897412561834
221,130000,77.24239217665477
222,131000,-29.965621098052555
223,132000,-453.7112343840965
224,133000,-27.195516743506904
227,134000,234.87843800921232
228,135000,9.908478159472315
229,136000,-13.935815027668404
230,137000,-30.60570097545711
231,138000,-269.54562922279416
233,139000,-10.27053920023635
234,140000,46.71985845094445
238,141000,-16.582723782654746
240,142000,-29.87712742559375
241,143000,-80.51001558144478
242,144000,195.99108391489227
244,145000,-30.032916387217654
245,146000,75.14077253291286
246,147000,246.68458302891457
247,148000,279.40896314810044
249,149000,-48.008612777532804
250,150000,-156.51200527408383
252,151000,54.92681530232323
253,152000,137.63210218556168
254,153000,-47.190321559308245
255,154000,164.5074421180704
257,155000,-158.74936480489092
258,156000,-14.930165121885082
259,157000,124.05614928890627
261,158000,177.53194586599636
262,159000,172.9248317827858
263,160000,206.51532423272596
265,161000,147.46102578244873
267,162000,34.72427973354174
268,163000,248.59533698999806
269,164000,196.62849924048646
271,165000,171.45037154358724
272,166000,138.86184641860729
273,167000,90.70453143975529
275,168000,-110.79382244554158
277,169000,43.49544537728106
278,170000,184.86418427786393
279,171000,197.6927687785436
280,172000,187.1450525620163
281,173000,126.05626967637133
284,174000,236.0262763799855
285,175000,236.70321221365654
287,176000,231.1072252319407
288,177000,103.96815896206466
289,178000,210.4611042593786
291,179000,104.44195843433555
292,180000,247.79664859002307
293,181000,-9.974575455633177
295,182000,160.5660897709825
296,183000,-26.85517588611518
297,184000,187.171136491375
299,185000,176.92777941682994
300,186000,-47.822495682477395
302,187000,-290.75896749790104
303,188000,259.19601553767006
305,189000,264.3059598948314
306,190000,226.66933826888686
308,191000,151.0776868635403
310,192000,133.59847691780618
312,193000,-2.658249017627554
313,194000,229.59951498646356
316,195000,147.3217487061977
318,196000,265.1161269888471
319,197000,184.6548998955957
321,198000,261.11467218021926
322,199000,249.33466346518873
323,200000,228.291788508479
325,201000,220.2994869225908
328,202000,223.40539476564112
329,203000,205.83317092101967
330,204000,82.07940172568954
332,205000,220.5889401768987
334,206000,256.77318273382616
336,207000,218.4213853539681
337,208000,250.36226743672165
338,209000,133.63909073968733
340,210000,205.15917310998407
342,211000,90.64893681535659
344,212000,254.5583752415611
345,213000,229.56829161412088
347,214000,182.62446046492505
349,215000,186.17734295470552
351,216000,201.53370241468835
353,217000,95.16598075496798
354,218000,223.223082451734
356,219000,145.55107046858217
358,220000,221.6403736106198
360,221000,176.69869456880184
362,222000,200.3139726187162
364,223000,296.6355437692692
366,224000,217.13112986825513
367,225000,237.94041213596694
369,226000,227.07721625945697
370,227000,219.9333377999929
372,228000,209.37799321053703
373,229000,238.57460118124797
375,230000,240.14150767689776
377,231000,256.8705609378039
378,232000,248.6925446638428
379,233000,76.4594734260146
381,234000,246.30536024101298
383,235000,171.5960704718855
385,236000,213.51163334905817
386,237000,270.7303951323543
389,238000,181.4711872893353
390,239000,233.0601733072974
391,240000,198.41925165266173
393,241000,245.89661692949505
395,242000,204.1683210190982
397,243000,235.2560098314678
399,244000,213.93913960831628
402,245000,252.79858221554755
403,246000,239.28670113449203
404,247000,235.3962286603045
407,248000,180.1323822197246
410,249000,123.5372239347021
412,250000,202.10303890101892
414,251000,275.0514377416825
