fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,use_target,input_dims,lr,seed
,0.99,0.1,64,4,0.1,False,8,0.0001,200
Performance logging begins:
Episode,Step,Score
41,5000,-559.8700968640176
54,6000,-151.62309070667987
68,7000,-166.57441154964434
82,8000,-145.32259307995594
97,9000,-147.66806016456894
111,10000,-119.69022966530565
124,11000,-247.22729507014662
138,12000,-135.89421155585563
152,13000,-119.48566357582544
166,14000,-125.93975815121601
180,15000,-161.76384291931038
194,16000,-134.3809484569077
207,17000,-84.26923091674638
222,18000,-152.34264674576426
235,19000,-156.88226280549435
249,20000,-139.29027107624935
263,21000,-123.47812702421174
276,22000,-129.1202426909436
289,23000,-124.61334767469322
302,24000,-146.7980698756448
316,25000,-134.52645070078808
328,26000,-111.75091217535879
343,27000,-104.97024872865597
357,28000,-121.32192690936256
370,29000,-122.108889416575
384,30000,-104.81834818908911
397,31000,-103.22345158504551
410,32000,-86.78363352624586
421,33000,1.695786490742634
429,34000,16.22141546517979
434,35000,-7.3815331749667905
435,36000,-28.438491328597053
437,37000,-71.14199673277841
439,38000,-3.8785956901536904
440,39000,14.291935855446738
441,40000,-14.582548379552133
442,41000,-0.7191865156370607
443,42000,-42.8250514688897
444,43000,43.27940457036559
445,44000,29.815386156064864
446,45000,-40.346782538655
447,46000,50.81567320296586
448,47000,24.254754732212472
449,48000,30.064374496399132
450,49000,27.073911721720357
451,50000,8.412574283768851
452,51000,30.575344260226363
453,52000,-36.90606845108932
454,53000,-57.21109403433544
455,54000,-104.7208527672932
456,55000,-227.14412892158563
457,56000,-126.16717557053565
458,57000,-113.96043528332191
459,58000,-178.39491535495648
460,59000,-155.49657080863236
461,60000,-193.8418047459086
462,61000,-132.24796718185837
463,62000,-127.08428829963209
464,63000,-142.5704918990366
465,64000,-116.2007344358669
466,65000,-62.20295020270282
467,66000,-105.27141248762665
468,67000,-120.77913111440604
469,68000,-122.47853880841052
470,69000,-88.07513656175841
471,70000,-82.44150373829902
472,71000,-107.92244147681475
473,72000,-108.82982338633731
474,73000,-156.338491011103
475,74000,-117.87978418879449
476,75000,-66.22941166318526
477,76000,-61.26303187194348
478,77000,-162.42728860675928
479,78000,-121.8955325291136
480,79000,-115.34838197173379
481,80000,-101.25906300403942
482,81000,-117.61518035959709
483,82000,-84.16758518045704
484,83000,-101.87585977883835
485,84000,-149.78129656875996
486,85000,-100.29960024483263
487,86000,-101.48979454757382
488,87000,-125.5285119656495
489,88000,-86.59869579452989
490,89000,-98.07808355864447
491,90000,-93.24914711635026
492,91000,-146.0233499647425
493,92000,-72.6574933109854
494,93000,-91.57975093540469
495,94000,-106.67649257263041
496,95000,-99.25073246719117
497,96000,-95.05210182826421
498,97000,-74.69755171222202
499,98000,-93.72738912517019
500,99000,-65.46267900313002
501,100000,-88.02402466494064
502,101000,-121.26768810682414
503,102000,-92.63096286668474
504,103000,-101.21174525476185
505,104000,-126.0061324712763
506,105000,-90.73034423376392
507,106000,-50.60934064758399
508,107000,-60.24654606164363
509,108000,-95.39029482593129
510,109000,-98.8722702848173
511,110000,-120.27620048627828
512,111000,-131.31197577314435
513,112000,-77.0941517043889
514,113000,-82.32898071405423
515,114000,-97.69255542672553
516,115000,-128.3512328713336
517,116000,-104.88924682864548
518,117000,-101.37071161240391
519,118000,-86.78185986634642
520,119000,-50.6894945903959
521,120000,-89.96411941867943
522,121000,-127.68314062138877
523,122000,-119.39057363347483
524,123000,-65.49424881171527
525,124000,-228.92995106179322
527,125000,-102.73285990884652
528,126000,-295.1987175956531
529,127000,-170.14866848828217
530,128000,-341.68161771472296
533,129000,-311.9290451853376
535,130000,-81.61724793317525
536,131000,-91.20470194058129
539,132000,-71.59525650007959
540,133000,-377.14441588891833
542,134000,-209.73603750818813
545,135000,-402.41536048065683
548,136000,-360.73588949916575
551,137000,-357.88490642345033
552,138000,-352.6026629600226
553,139000,-91.50644173996835
554,140000,-141.0064799787911
555,141000,-124.8898843673056
556,142000,-60.641797119435225
558,143000,-154.17527618950427
559,144000,-93.95013291944021
560,145000,-105.2432169488201
561,146000,-85.27113410311311
562,147000,-101.89546591117337
565,148000,-138.4171394212186
566,149000,-88.65371011405041
567,150000,-98.85847445338308
568,151000,-135.82581400022025
569,152000,-107.02015798202156
570,153000,-94.48068131703741
571,154000,-92.9417616543244
572,155000,-133.97734926874244
573,156000,-85.9221474481328
575,157000,-103.70973119254342
576,158000,-126.79824063245664
577,159000,-100.97604283707312
578,160000,-124.60923492958266
579,161000,-325.0287020942094
580,162000,-138.34239148932534
581,163000,-131.03362493348988
582,164000,-121.14359517983827
583,165000,-160.94353165345626
585,166000,-161.72904629194758
586,167000,-102.43850450961108
587,168000,-113.25279404135588
588,169000,-99.49723325061892
589,170000,-125.58833480424332
590,171000,-72.09478930257892
591,172000,-118.8185524034243
593,173000,-84.51400210065948
594,174000,-241.1675527796446
595,175000,-119.84130832270722
596,176000,-134.90594130779044
597,177000,-19.555661874257964
599,178000,-155.1701998335016
600,179000,-127.52944391597914
601,180000,-126.98925302199054
602,181000,-133.02873446444104
603,182000,-38.71189898193396
604,183000,-65.42655404409125
605,184000,206.43954685627278
606,185000,-82.38946419243574
608,186000,-181.77293474385976
611,187000,-376.46984107876506
