fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,70
Performance logging begins:
Episode,Step,Score
43,5000,-634.4140438773478
57,6000,-468.49731828762395
72,7000,-160.43828334702874
87,8000,-323.74718449425666
100,9000,-233.23186765834447
115,10000,-154.08568475011378
129,11000,-149.5188491565106
142,12000,-135.8064185594506
155,13000,-188.94511252609888
169,14000,-171.14176793073472
183,15000,-110.78467866817168
198,16000,-109.66772853342589
212,17000,-94.76617758177527
225,18000,-137.17771676072618
240,19000,-145.14076305840047
255,20000,-125.21964379262162
269,21000,-132.55060113969824
283,22000,-117.39964365570523
296,23000,-136.96603127732624
310,24000,-103.74008134404694
324,25000,-110.45424292155118
339,26000,-119.58795500599325
353,27000,-127.48986703576713
366,28000,-98.91671395807494
380,29000,-136.40956005296079
394,30000,-178.14698563196268
408,31000,-149.77549448684331
422,32000,-149.28632069482902
436,33000,-30.898636491878136
448,34000,-29.832543698506797
456,35000,-87.92993760823859
463,36000,22.080241672845617
466,37000,0.5563463697429682
470,38000,-2.264665945786021
472,39000,-62.408463207618766
477,40000,208.30039126714433
478,41000,146.64195835697558
480,42000,-203.18647505197268
481,43000,59.111391597994185
484,44000,63.41529795744871
487,45000,-55.543749829771315
488,46000,-44.696883655972826
489,47000,42.74174619919832
491,48000,-128.8496540658471
492,49000,-49.86320106051255
493,50000,-243.495773221369
496,51000,-125.2788163024388
499,52000,-119.32909381994271
502,53000,-66.60649127970996
503,54000,-63.887919499190886
504,55000,-40.850563297792235
505,56000,-32.63297586611173
506,57000,-273.78910245266127
507,58000,-308.64248498995937
508,59000,-186.8815495746179
509,60000,-156.45728979545333
510,61000,-192.70364510143938
511,62000,-184.85956038467114
512,63000,-123.58675507110496
513,64000,-145.38976110924324
514,65000,-128.2203454566043
515,66000,-235.60214772564632
516,67000,-214.45912176613484
517,68000,-126.34233016376983
518,69000,-131.62528908074503
519,70000,-128.39676752659906
520,71000,-156.50697622553568
521,72000,-112.2846012309046
522,73000,-113.99190690793422
523,74000,-125.68011156997484
524,75000,-112.66159158428097
525,76000,-131.3598905445978
526,77000,-143.31506936222846
527,78000,-132.0312586630283
