activation:,agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,FTA(),0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
0,-84.78,-84.78,1.0
1,-135.86,-110.32,1.0
2,-365.98,-195.54,1.0
3,-303.81,-222.61,0.99
4,-101.42,-198.37,0.99
5,-127.06,-186.49,0.98
6,-200.62,-188.5,0.98
7,-107.66,-178.4,0.97
8,-178.62,-178.42,0.97
9,-196.94,-180.28,0.97
10,-331.35,-194.01,0.96
11,-88.3,-185.2,0.96
12,-129.61,-180.92,0.95
13,-273.74,-187.55,0.95
14,-238.65,-190.96,0.94
15,-218.24,-192.66,0.94
16,-123.95,-188.62,0.93
17,11.17,-177.52,0.93
18,-370.89,-187.7,0.92
19,-96.39,-183.13,0.91
20,-130.77,-180.64,0.91
21,-126.61,-178.19,0.91
22,-403.9,-188.0,0.9
23,-83.21,-183.63,0.9
24,-160.93,-182.72,0.89
25,-36.39,-177.1,0.88
26,-82.91,-173.61,0.88
27,-79.58,-170.25,0.87
28,-61.45,-166.5,0.87
29,-80.6,-163.63,0.86
30,-138.64,-162.83,0.86
31,-93.58,-160.66,0.85
32,-197.66,-161.79,0.85
33,-68.97,-159.06,0.84
34,-103.35,-157.46,0.84
35,-186.78,-158.28,0.83
36,-35.83,-154.97,0.82
37,-78.05,-152.94,0.82
38,-56.0,-150.46,0.82
39,-169.22,-150.93,0.81
40,-311.18,-154.84,0.81
41,-90.74,-153.31,0.8
42,-63.82,-151.23,0.8
43,-124.39,-150.62,0.79
44,-52.43,-148.44,0.79
45,-99.66,-147.38,0.78
46,-104.45,-146.46,0.78
47,-95.66,-145.41,0.77
48,-117.51,-144.84,0.77
49,-6.06,-142.06,0.76
50,-45.05,-140.16,0.76
51,-117.48,-139.72,0.75
52,-137.57,-139.68,0.75
53,-25.99,-137.58,0.74
54,-78.8,-136.51,0.74
55,-30.7,-134.62,0.73
56,-64.39,-133.39,0.73
57,-73.7,-132.36,0.72
58,-100.08,-131.81,0.72
59,-49.7,-130.44,0.71
60,-85.06,-129.7,0.71
61,-84.09,-128.96,0.7
62,-140.36,-129.14,0.7
