fta params:,lower,upper,delta,eta
,-0.1,0.1,0.01,0.01
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,use_target,input_dims,lr,seed
,0.99,0.1,64,4,0.1,False,8,0.0001,30
Performance logging begins:
Episode,Step,Score
54,5000,-844.883380095977
61,6000,-688.1025034356312
68,7000,-73.74057550646593
73,8000,-255.45263089746365
77,9000,-131.23657991084013
82,10000,-48.15942260967803
86,11000,-196.24437504801196
90,12000,-151.91572873401464
91,13000,-165.57715627288044
94,14000,-314.4904246199385
96,15000,-169.05336705940266
97,16000,-162.97540966615682
98,17000,-176.68638596370204
99,18000,-77.3306876050514
100,19000,-148.00799285108369
101,20000,-245.43395413954983
103,21000,-121.73565557737665
104,22000,-72.64412360076976
106,23000,-124.48315252112722
108,24000,-105.54241217993788
109,25000,-83.80945418285597
110,26000,-94.759526802094
111,27000,-132.50621958895655
112,28000,-107.30932576550197
113,29000,-192.44937365537507
114,30000,-59.17794166776954
115,31000,-58.62454545695776
116,32000,-25.359058505678775
117,33000,-216.51446600599593
118,34000,-81.68631248191643
119,35000,-13.313022061284885
120,36000,-106.4138843225045
121,37000,-91.13348870381853
122,38000,-140.9223010799553
123,39000,-20.84947100451506
124,40000,-75.79727018272541
125,41000,-61.315800463254135
126,42000,-93.17653220554436
128,43000,-87.89755934728694
129,44000,-162.70180552568365
130,45000,-64.45403589528738
132,46000,-224.62067846093544
133,47000,-130.91843996673003
134,48000,-38.20967714102357
135,49000,-95.43254980377439
136,50000,-64.7843956437967
137,51000,-84.49388772783905
138,52000,-45.40145341620468
139,53000,-94.41518542072242
140,54000,-76.93427205316988
141,55000,-165.85616198094942
142,56000,-67.49603347353147
143,57000,7.054995003707029
144,58000,-104.77550648492895
145,59000,-17.05169469401235
146,60000,-57.853918592733294
147,61000,-54.351641114547014
149,62000,-30.092939715959535
150,63000,-42.73651436853826
151,64000,-76.50433695507557
152,65000,-82.62192805445679
153,66000,-50.5399759085291
154,67000,-2.2973632181109735
156,68000,20.343291936569834
157,69000,-4.563149734096091
158,70000,-53.61265779926789
159,71000,20.986694317830313
160,72000,-59.71194898167293
161,73000,-74.0531743549098
162,74000,-14.272475313723604
163,75000,-18.37116848895954
164,76000,-82.51314799830632
165,77000,-147.37126941312422
166,78000,-13.231648556841952
167,79000,-92.98868532551107
168,80000,-56.81979025982439
169,81000,-163.29936294046382
170,82000,-34.55895925558185
171,83000,-117.80041210146894
173,84000,-123.07356850460069
175,85000,-159.74631288763783
176,86000,223.2387606930671
178,87000,-128.50746368576617
180,88000,-116.58076446817864
181,89000,205.66578113589532
182,90000,-81.54415866211252
184,91000,-112.33775557703893
186,92000,-62.938480235269715
187,93000,185.66813281908975
188,94000,-16.681053344559295
190,95000,212.56123214093935
191,96000,-68.23132165553774
192,97000,-82.75713354752233
193,98000,-57.491034301037296
194,99000,-81.28529457710567
196,100000,-38.398497757262334
197,101000,2.130421717825561
199,102000,168.73382734352717
201,103000,156.83816576014337
202,104000,178.4063060649143
203,105000,-75.06603438461954
205,106000,220.06164392224096
206,107000,31.8415529208648
207,108000,-69.52916520196811
208,109000,13.781281139430954
210,110000,162.06943591901995
211,111000,129.99426254440567
212,112000,0.5709246148488247
214,113000,215.6918853181015
216,114000,223.88720316312083
218,115000,-27.958890053792594
219,116000,272.0076369617841
220,117000,-46.45982189278171
221,118000,138.55620775483422
222,119000,-25.87622719612196
224,120000,168.40725471805834
226,121000,226.69860246855848
228,122000,203.57010537845804
230,123000,99.1895848279544
232,124000,149.4012736698436
233,125000,-89.21162532923685
234,126000,229.6450468832151
235,127000,-59.65355560763386
237,128000,213.88565305769032
238,129000,250.6487545107289
239,130000,267.1424618306594
240,131000,241.0544829449541
241,132000,270.0721311347411
242,133000,205.19479415569373
244,134000,179.52705798710593
245,135000,196.5010747033843
246,136000,95.57980002401163
247,137000,143.22547557351297
250,138000,254.07500323868777
252,139000,152.01378440179346
255,140000,210.71286466249927
256,141000,109.13323584676766
257,142000,121.16558256869536
259,143000,244.30868440730694
261,144000,222.86410910377296
262,145000,247.95888466298052
263,146000,88.56872734822852
264,147000,156.9725658927586
265,148000,199.5871664276491
267,149000,235.72060406686273
269,150000,222.20095773794492
272,151000,223.94467676044593
274,152000,273.66424141989717
275,153000,247.65279689093381
277,154000,71.96647868024516
279,155000,-24.307591620345065
281,156000,256.60074037856015
282,157000,232.7979800605974
283,158000,213.7986255547405
285,159000,215.1421478759211
286,160000,229.9155372409909
287,161000,-27.215305257341548
288,162000,252.00268288428416
290,163000,187.5451138428532
291,164000,-662.3870916373224
294,165000,258.4554308516092
295,166000,172.62764173570562
297,167000,187.28729535994643
