fta params:,lower,upper,delta,eta
,-1,1,0.1,0.1
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,use_target,input_dims,lr,seed
,0.99,0.1,64,4,0.1,False,8,0.0001,80
Performance logging begins:
Episode,Step,Score
70,5000,-158.3585828724144
78,6000,-257.6566262168201
86,7000,-332.48021742242315
95,8000,-110.38222696350117
103,9000,-130.08126866937803
107,10000,-639.6617520103744
113,11000,-21.17868230545936
117,12000,-293.7889077244856
120,13000,-318.0376172818594
122,14000,-401.79938033564326
125,15000,-308.36718833948095
127,16000,-222.46047981649096
128,17000,-123.29433922411114
130,18000,-143.12308306390977
133,19000,-353.0309007285564
137,20000,-69.09041575666774
139,21000,-199.05908579247097
141,22000,-256.8209814199706
142,23000,-37.57694637102134
143,24000,-103.60919765122844
144,25000,-158.2513373376038
145,26000,-117.97441235864866
146,27000,-148.575834745673
147,28000,-209.42341291276662
148,29000,-98.37164381746626
149,30000,-125.75838784736703
150,31000,-110.28712069430496
151,32000,-108.58945650723747
153,33000,-75.96793799690575
156,34000,-134.98821164067664
157,35000,-120.31374418388735
158,36000,-247.90896659498506
159,37000,-110.44780566719865
160,38000,-364.65353137411176
162,39000,-96.5498142290947
163,40000,-68.79549392860179
164,41000,-73.67124234368583
165,42000,-91.92560264693537
166,43000,-101.29790441419475
167,44000,-50.68419834104769
168,45000,20.34177327927788
169,46000,-80.75946222852686
170,47000,-178.13040094893853
171,48000,-125.1034447673506
172,49000,-90.215992093949
173,50000,-83.95508038028953
174,51000,-74.11035147317547
175,52000,-149.23802181044195
176,53000,-135.17696411777405
177,54000,-43.94459993705051
178,55000,-92.43110826346418
179,56000,-60.45362394347089
181,57000,-108.11264166942667
182,58000,-119.41705149516567
183,59000,-116.55362786493889
184,60000,-50.11597779672111
185,61000,-102.97819829548234
186,62000,-80.01978800216396
187,63000,-101.44622449744534
188,64000,-65.2475377024344
189,65000,-99.92014050228546
190,66000,-84.20125063542744
191,67000,-67.74237197028171
192,68000,-12.690831902356853
193,69000,-57.65464282341609
194,70000,-56.40501489421162
195,71000,-42.37362812560194
196,72000,-7.5827253568185204
197,73000,-55.509351976078904
198,74000,-79.37348769893059
199,75000,-27.185468504503707
200,76000,-33.45438512138172
201,77000,-52.014313730933154
202,78000,-72.42273738051406
203,79000,-84.60472938006441
204,80000,-55.128761319354076
205,81000,-51.11718551393827
206,82000,-78.3562727745117
207,83000,-16.992605948666593
208,84000,-45.21627218369435
209,85000,-14.166600491118814
210,86000,-25.913594362812276
211,87000,-51.03026428813027
212,88000,-62.91177626471874
213,89000,-51.629364945609865
214,90000,-61.90093619325242
215,91000,-18.214467434168558
216,92000,-38.225522852921934
217,93000,-93.05984254930272
218,94000,-71.38249873666429
219,95000,-9.36193387090838
220,96000,-44.406461330904754
221,97000,-74.3711355501476
222,98000,-36.49324732181519
223,99000,-52.850913817675014
224,100000,-48.81815427085392
225,101000,-54.86882927689078
226,102000,-83.75267017144935
227,103000,-83.87688111779299
228,104000,-47.266602268166984
229,105000,-44.98762518264799
230,106000,0.4547500545645975
231,107000,-59.416770960404435
232,108000,-96.99246414243775
233,109000,-59.32355859908508
234,110000,-14.238426388634945
235,111000,-75.12205981119381
236,112000,-71.62620692715227
237,113000,-47.28963138278292
238,114000,-31.68533128439634
239,115000,-48.68789927795267
240,116000,-16.098133658782082
241,117000,-16.39989607660661
242,118000,-10.49592014899052
243,119000,-95.79381332471618
244,120000,20.533150556385998
245,121000,-62.6909402425602
246,122000,-4.1136529953793
247,123000,-13.75629588455317
248,124000,-19.974316779981233
249,125000,-39.358418414978374
250,126000,-302.822044664155
251,127000,-26.362451067885807
252,128000,-25.770638758124658
253,129000,6.6296202239180895
254,130000,-277.018986419362
255,131000,-114.55489915596193
256,132000,-249.85318589725725
257,133000,-41.30246165959284
258,134000,-50.205156762050514
259,135000,-11.067648534215662
260,136000,188.5116104999882
261,137000,207.56629147407864
263,138000,-257.7295310159837
264,139000,-25.82778430560772
266,140000,-226.73674511248453
268,141000,-231.40641229279925
269,142000,-81.32598470292137
270,143000,-27.863486680884463
272,144000,-112.09400923317374
273,145000,-62.34007933834219
274,146000,-13.553862370235462
275,147000,-35.42536971521381
276,148000,15.54979656208317
278,149000,49.55637691152387
279,150000,-53.612376357692895
280,151000,-47.94410070926534
281,152000,183.04686876154915
283,153000,180.34909597274475
284,154000,-156.4387026091958
286,155000,76.98178827895752
288,156000,197.2188495844846
290,157000,-189.43213870653335
291,158000,-91.35508317122613
292,159000,-108.34259993764768
293,160000,-63.18191636200498
295,161000,199.57119261366933
297,162000,283.2508364572851
298,163000,239.33548693391432
