fta params:,lower,upper,delta,eta
,-100,100,10.0,10.0
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,80
Performance logging begins:
Episode,Step,Score
39,5000,-356.72004285419604
46,6000,-236.7312078619237
51,7000,-426.4253235495856
56,8000,-343.14138838533484
62,9000,-26.93697401338308
67,10000,-236.23249268574816
74,11000,-285.07039582630387
78,12000,-308.4614835776588
85,13000,-197.229772035169
94,14000,-31.461219549617056
101,15000,-142.82464092931605
110,16000,-100.88620228162948
118,17000,-146.99746852549387
125,18000,-48.52307739575507
131,19000,-290.17252238071217
137,20000,-119.98781266546504
145,21000,-213.33518828248503
150,22000,-133.30276411884012
154,23000,-247.49420001350435
158,24000,-268.27071516440367
161,25000,-50.68497438243435
164,26000,-159.98416680938715
166,27000,-278.0096334232933
167,28000,-187.20297195595668
170,29000,-264.1635531033434
172,30000,-203.2045254469831
175,31000,-228.9507925488841
178,32000,-168.89462487607886
180,33000,-189.36053701263717
181,34000,-286.3037663930496
183,35000,-171.77546573093036
184,36000,-213.85974876169377
185,37000,-96.41928907503207
186,38000,-546.2779427131359
187,39000,-174.4108765939054
189,40000,-157.96812779339896
190,41000,-142.3975281035502
192,42000,-174.33259181483947
193,43000,-201.8706996668455
194,44000,-217.90305252163694
196,45000,-261.52983947682344
197,46000,-109.4729842857446
198,47000,-179.5495633300988
200,48000,-81.79431036237102
202,49000,-107.12643032824103
203,50000,-152.9719576136585
204,51000,-122.33525099388103
205,52000,-109.95309393896025
206,53000,-84.58778416516094
207,54000,-53.27132499691949
208,55000,-77.46315381252742
209,56000,-95.95838931884325
210,57000,-90.36890554878843
211,58000,-61.76394267859385
212,59000,-66.37080468395165
213,60000,-60.22632506397789
214,61000,-48.12851154278456
215,62000,-117.33607396443435
216,63000,-54.99737948665577
217,64000,-162.63027230940529
218,65000,-33.644311076671485
219,66000,-105.24879447034634
220,67000,-39.92799028503364
221,68000,-76.32833610601854
223,69000,-45.22740438329833
224,70000,-16.409232207855954
225,71000,-65.5905878025998
226,72000,-68.80817841301891
227,73000,-75.93053882143006
228,74000,-38.228536165688084
229,75000,-66.10713979898966
230,76000,-64.01383395965674
231,77000,-89.15216353003039
232,78000,-73.2532853895536
233,79000,-59.841722866901655
234,80000,-80.36856341174051
235,81000,-115.22012581205338
236,82000,-89.76096632171202
237,83000,-125.04786825419232
238,84000,-57.29714371349196
239,85000,-69.90535703223513
240,86000,-119.6134081992036
241,87000,-26.85012905634334
242,88000,-52.26936118507136
243,89000,-74.31145723322513
244,90000,-87.0781594549503
245,91000,-99.29649391442479
246,92000,-30.68333668937879
247,93000,-75.97823378975502
248,94000,-32.74331725892167
249,95000,-1.4046356984096322
250,96000,-136.81319434294096
251,97000,-87.14208080726183
252,98000,-105.93454500820937
253,99000,-59.992631406860056
254,100000,-64.66067701195992
255,101000,-23.656462609000492
256,102000,-143.74062492384283
258,103000,-85.45328180167103
259,104000,-82.8759288044633
260,105000,-48.58184442177037
261,106000,-121.26575050061653
262,107000,-1.5526663120753872
263,108000,-9.076153900324503
265,109000,-294.27306364378217
266,110000,-14.671593436398187
267,111000,-94.37320070684683
268,112000,-30.66359302382252
269,113000,-33.57102335080373
270,114000,-35.7481495311541
271,115000,-59.34162355413217
272,116000,-152.1462807127751
273,117000,-32.519823133236486
274,118000,0.10457013862533238
275,119000,-97.69651700756312
277,120000,-57.17197117878686
278,121000,-37.63194091499965
279,122000,-103.34709131576813
280,123000,-54.666255662188405
281,124000,-53.104508403689536
282,125000,-90.20796597925614
283,126000,-162.93614193253688
284,127000,165.064886987251
285,128000,-28.105134387918362
286,129000,-28.82210838292225
287,130000,-81.68147556881422
288,131000,-138.16735764662087
289,132000,123.97791024443246
290,133000,-48.2349244372803
293,134000,69.32819830664646
294,135000,242.38901060476553
295,136000,-35.10882092487124
297,137000,44.16640179447671
300,138000,32.27186563744101
301,139000,212.19965221017839
302,140000,-14.372075219553297
303,141000,235.69786939215894
305,142000,92.46170819334775
306,143000,252.12524191504335
307,144000,-85.56814402757635
309,145000,289.25944697221547
311,146000,-49.15096013904635
313,147000,186.12262683725422
314,148000,194.94952712849846
316,149000,135.02649926072013
317,150000,-57.47648331818216
319,151000,232.02417715094606
321,152000,246.98657424672024
322,153000,216.0569150398269
323,154000,173.19514885524495
325,155000,226.47271905992284
327,156000,-63.301327567682286
329,157000,86.07828643043065
331,158000,-34.39578206342708
332,159000,109.0588244456957
334,160000,247.45211802029374
336,161000,88.05906603463988
338,162000,278.2434892897031
340,163000,249.83127650965727
343,164000,113.26566305184733
345,165000,-36.96181563707383
347,166000,185.13460461363152
349,167000,282.2232019656949
352,168000,214.45376979128892
354,169000,222.95390247270944
356,170000,223.25335503407769
357,171000,274.2172114508421
358,172000,224.94292669781314
359,173000,279.19404732516745
360,174000,3.1614646968566404
363,175000,223.6840434275896
366,176000,15.527018405897806
369,177000,247.18296630777715
373,178000,267.7814183066142
376,179000,265.3616175550902
379,180000,123.96569463799095
382,181000,257.83398594001096
384,182000,286.2291118705043
386,183000,207.9835363617313
389,184000,276.2575957119066
391,185000,269.0312439386529
394,186000,255.39329557864352
396,187000,169.3834694379118
399,188000,205.45335671795567
402,189000,264.8010130259033
404,190000,212.53756034666122
407,191000,252.33527650011698
411,192000,218.04338515660896
413,193000,302.3164588814569
414,194000,270.3437794387786
416,195000,240.92415522539133
419,196000,250.15527662038403
421,197000,231.94325586022018
424,198000,-38.9931613423898
426,199000,243.5509273990089
429,200000,-30.96033329162185
431,201000,238.92744834278457
433,202000,207.72946439283515
435,203000,223.45792793700895
437,204000,183.38338894243807
439,205000,284.1387098090373
442,206000,246.8180440470367
445,207000,273.6056295570694
447,208000,271.57402621551773
450,209000,245.76657201684455
453,210000,278.8557740805029
456,211000,246.65425419761482
459,212000,258.90715001169764
461,213000,247.98734244106134
463,214000,299.6706552004447
465,215000,240.06796387002143
467,216000,263.1066608691083
471,217000,249.49881228311327
474,218000,242.59279337208577
477,219000,244.03996800904972
479,220000,247.8201185370528
482,221000,281.4051177340715
483,222000,269.47852666309996
486,223000,207.040495329103
488,224000,262.22127875166626
489,225000,285.4790592367471
492,226000,265.9112842587042
494,227000,258.8234840047009
496,228000,204.9975680777745
499,229000,291.24912881444845
501,230000,273.3839110905791
504,231000,273.8079399829163
506,232000,271.2412231810865
510,233000,272.6477417445669
513,234000,267.3369242566962
516,235000,-219.13449795036564
519,236000,268.496352499015
523,237000,265.31136259794704
527,238000,295.1072552508296
529,239000,258.0006769973413
530,240000,241.51503032490118
532,241000,266.17868176691013
535,242000,274.33407807203605
538,243000,247.53385989180808
541,244000,250.04926016164484
543,245000,115.64544242879492
545,246000,272.6443736193789
547,247000,274.08352851108293
551,248000,244.6775701473568
553,249000,214.1502532182117
556,250000,230.44980897029282
559,251000,249.6825500790242
563,252000,290.90198967418405
566,253000,270.07859240257386
569,254000,106.44327121492329
572,255000,267.71597160244914
574,256000,273.4045433983498
576,257000,269.29998143458147
579,258000,-96.70302807035661
580,259000,262.332508650755
584,260000,-51.26375019333763
587,261000,251.72708045419074
588,262000,299.6163637885062
591,263000,231.3677112990476
