fta params:,lower,upper,delta,eta
,-1,1,0.1,0.1
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,20
Performance logging begins:
Episode,Step,Score
52,5000,-490.09877795772616
65,6000,-111.48315711905649
78,7000,-105.50687584903072
85,8000,-148.0154209104333
92,9000,-313.32399179312847
99,10000,-444.468547345328
105,11000,-83.36568299749106
113,12000,-70.62409423123376
119,13000,-298.9512984812401
128,14000,-53.365064039793275
137,15000,-226.1387920873481
144,16000,-24.741596931300165
148,17000,-5.359137699285355
153,18000,-119.82919585670729
158,19000,-78.63622069934667
164,20000,-46.71249574877377
172,21000,-133.57212168537632
180,22000,-138.18284899069587
188,23000,-19.734508547324637
195,24000,-161.83811813232413
203,25000,-174.17571189467864
212,26000,-63.66708881646023
221,27000,-62.32874568425903
229,28000,-52.75282610267922
236,29000,-153.76755884426956
241,30000,22.159158875728963
249,31000,-164.91054509670718
256,32000,-94.01763864482406
261,33000,-140.97277539405047
268,34000,-65.15222544728738
271,35000,-198.81710277370524
272,36000,-181.66072024255988
279,37000,-118.1136162210041
284,38000,-167.3208909634594
289,39000,-177.96245702328804
294,40000,-139.16241836314788
300,41000,-161.64397397883192
304,42000,-146.81375401825514
310,43000,-225.19089645174006
315,44000,-158.91341965591624
320,45000,-212.24893234133634
324,46000,-187.5907880476587
330,47000,-185.07806858187126
333,48000,-162.70322115755715
337,49000,-254.83519075656835
342,50000,-54.49776358756291
349,51000,-145.06006696225222
355,52000,-125.99699241729088
364,53000,-181.95230159068765
370,54000,-346.98291032629277
373,55000,-224.5382073202361
378,56000,-68.36643600531667
385,57000,-161.17856057324101
391,58000,-117.09516482377664
394,59000,-45.33398455590479
402,60000,-229.35834018818312
407,61000,-331.9372199404162
413,62000,-297.11560349944307
419,63000,-165.1748515497768
424,64000,-143.1181364336168
431,65000,-207.55307504189398
433,66000,-104.61651040265942
438,67000,-217.72581604181232
441,68000,-9.04774570255087
445,69000,-12.331787192086054
447,70000,-18.656259337890774
452,71000,-109.30569531785785
457,72000,-287.2025911277427
460,73000,-129.3870131551042
463,74000,-93.1917251499527
464,75000,-137.82546542005596
466,76000,-286.09587843945263
470,77000,-89.62496373499843
471,78000,-282.61975015949747
473,79000,-134.55604465989717
476,80000,-71.3201800781744
482,81000,-104.72363924847552
489,82000,-41.98963695260301
493,83000,-140.46534416626687
496,84000,2.3226417489815816
497,85000,-20.311597292971072
503,86000,-256.21710733498844
508,87000,-46.68081402634816
514,88000,-189.8506426342717
518,89000,128.24983377717123
522,90000,-19.0068096050731
526,91000,-160.93294415217213
533,92000,124.97941384659552
534,93000,-13.650046135071719
537,94000,-125.89949163493365
540,95000,32.080119827108604
543,96000,-117.0993096787397
548,97000,-189.48591988376324
552,98000,-147.9224902250081
555,99000,-314.26383470276926
556,100000,-18.192604847894856
560,101000,-86.33536863362573
562,102000,-120.77351387999298
565,103000,-26.73502869586011
566,104000,-95.79944209430212
570,105000,-54.531410443717036
571,106000,-105.22246048824269
577,107000,4.66883458589102
584,108000,-50.552786990453306
587,109000,-45.16566495803019
592,110000,-8.815741281006495
598,111000,-142.97835939221076
599,112000,-98.75414446851309
602,113000,-175.46685155980373
605,114000,-146.08071965832704
606,115000,-88.83949349848331
609,116000,173.00399377487145
614,117000,-119.7840957178819
618,118000,-61.03624094236439
622,119000,-163.48528583479361
626,120000,-100.81997529056895
628,121000,-0.4417515550497346
630,122000,-43.125620740814085
633,123000,-83.62572003886987
637,124000,-50.35904076463069
640,125000,-37.39155338019468
643,126000,-90.76518543137759
648,127000,-74.10884481093447
653,128000,-150.9039099648627
655,129000,-54.127781623277414
660,130000,-86.41627508935618
666,131000,208.01575231379798
669,132000,-68.5751360211511
675,133000,-81.6096553429521
677,134000,-26.22400118631677
684,135000,-93.65729414973625
691,136000,-88.04807860253747
696,137000,-84.89190974032638
702,138000,-108.86151773642204
709,139000,-60.62350057972298
714,140000,-48.49441761047534
716,141000,-69.2581761459178
723,142000,-41.99492975539282
726,143000,-74.21111749073759
729,144000,159.25627609114895
733,145000,-169.33548525550032
738,146000,-67.00663543552756
745,147000,-117.03390390334249
748,148000,-37.170387726417815
753,149000,163.88878320932443
757,150000,-94.1003298101106
761,151000,-37.364209705134655
765,152000,-105.855400859085
766,153000,-144.51745580113118
769,154000,191.41805252740585
771,155000,-132.67262222571958
775,156000,-45.25080931736423
777,157000,-109.14024970050912
782,158000,67.71201791357747
786,159000,-124.85979835725965
792,160000,133.24934489538668
794,161000,150.04948964741467
798,162000,-71.78545935610182
800,163000,-105.10425797878528
806,164000,-80.43917369820628
807,165000,-161.65172635715007
811,166000,-95.62378441058699
817,167000,-179.91837277893137
822,168000,-88.41453069975181
825,169000,11.038735264851397
831,170000,-85.60804148818607
834,171000,-73.2349370091735
840,172000,130.77738175713878
845,173000,-50.871722415229165
850,174000,-30.851239694184287
852,175000,-39.40211666826053
858,176000,-35.83634852956287
863,177000,-69.78784875846507
868,178000,-81.43527378316192
876,179000,-36.73320982712822
881,180000,-77.7372530425404
884,181000,-87.39807182203174
891,182000,-57.409795709755926
893,183000,-86.90697170057825
899,184000,194.8698008788425
901,185000,-54.58371431119249
905,186000,-66.89101504856569
910,187000,-53.622073644646676
913,188000,-200.05337504237212
916,189000,-249.76470117623307
921,190000,-87.22624058103571
923,191000,-55.32454474364971
927,192000,-15.692539840931829
932,193000,-137.28401547460044
937,194000,-54.20334286916283
941,195000,-65.71877246273537
945,196000,-98.83540998873337
950,197000,-39.79497348054358
