fta params:,lower,upper,delta,eta
,-0.01,0.01,0.001,0.001
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,70
Performance logging begins:
Episode,Step,Score
53,5000,-677.105815671672
64,6000,-83.37044858212627
68,7000,-125.53356158439979
74,8000,-120.2423590006655
78,9000,-124.14203052728504
81,10000,-143.15954421803102
85,11000,181.21101598079406
87,12000,-12.515212644203203
90,13000,-97.41703305748439
93,14000,-64.66932307720226
95,15000,-163.21475842775132
96,16000,-58.933014553944744
99,17000,-90.05782497561835
102,18000,-172.97590174571383
105,19000,-202.20603211837567
106,20000,-302.8227566272496
109,21000,-232.5412845731552
110,22000,-126.03804668762635
113,23000,-85.74801273477529
114,24000,-167.6396219826544
116,25000,-99.21076575786387
117,26000,-72.67456383812664
118,27000,-82.06032919992757
119,28000,-66.68675578451325
120,29000,8.311550917489443
121,30000,-117.27140577016517
122,31000,-96.583075271094
123,32000,-77.20477823529016
124,33000,-112.09362374976217
125,34000,-102.7956221406618
126,35000,-154.0193545068087
127,36000,-126.51900675690972
128,37000,-120.14826362360347
129,38000,-67.80739280308052
130,39000,-122.3783500171342
131,40000,-55.288628172624875
132,41000,-75.5340405522252
133,42000,-84.32615010551166
134,43000,-92.6227371813695
135,44000,-128.51509729247027
136,45000,-92.35365832622514
137,46000,-120.40306845262805
138,47000,-15.910401042019767
139,48000,-120.78251674182937
140,49000,-139.30076234934367
141,50000,-81.1463785937502
142,51000,-117.67457737055597
143,52000,-99.30355286257192
144,53000,-173.51658272129995
145,54000,-99.33471582272018
147,55000,-91.83733958631325
148,56000,-119.38520683148907
149,57000,-48.21770988324498
150,58000,-60.84132090930281
151,59000,-51.15928116364093
152,60000,-60.58084994559525
153,61000,-88.03857631923307
154,62000,-70.18463122687864
155,63000,-63.44607460945602
156,64000,-99.20723114275737
157,65000,-192.27133126571985
158,66000,-59.046217219350225
159,67000,-77.84933642832708
160,68000,-137.32866666189045
161,69000,-39.44791269364022
162,70000,-65.26281998499496
163,71000,-26.693924011031292
164,72000,-53.7862545420541
165,73000,-68.53459541850192
