fta params:,lower,upper,delta,eta
,-1,1,0.1,0.1
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,30
Performance logging begins:
Episode,Step,Score
73,5000,-515.7441346328145
81,6000,-181.3091707989587
88,7000,-388.6119604072977
94,8000,-461.73071265381986
100,9000,-275.97127746091905
105,10000,-110.29465377912022
111,11000,-271.46262744627984
116,12000,-267.61528146902856
122,13000,-564.4102661251329
126,14000,-208.09018746190304
131,15000,-540.1438588527824
134,16000,-473.47054098030117
138,17000,-250.78266104881112
141,18000,-247.12460713161556
142,19000,-206.91690528152947
143,20000,-273.81507656999656
145,21000,-228.01442990676134
146,22000,-327.6176634469787
147,23000,-189.09654894005905
148,24000,-187.644684026652
149,25000,-199.97887696024472
150,26000,-210.30420857964472
151,27000,-273.1566113419409
152,28000,-342.3499967295063
154,29000,-252.36598215355454
155,30000,-237.62636732369975
156,31000,-242.7752484467116
160,32000,-363.7697351027722
161,33000,-185.1647555760744
162,34000,-187.1418535430741
163,35000,-240.26491221277203
164,36000,-225.1289165124878
165,37000,-140.14928472624106
166,38000,-122.54204426856649
167,39000,-167.2143277655883
168,40000,-142.24648328997722
169,41000,-124.75480919924985
170,42000,-127.27338491027831
171,43000,-287.33455527396546
172,44000,-214.56406768509805
174,45000,-57.8925049861983
175,46000,-89.30679462383708
176,47000,-301.26371576037616
178,48000,-71.29310832028801
179,49000,-146.53157894515036
180,50000,-101.33178572662838
182,51000,-186.53242928709307
183,52000,-104.19227077774737
185,53000,-73.56161410398296
186,54000,-90.69495708854659
187,55000,-202.23179700424876
188,56000,100.13553040937218
189,57000,-100.48774728099013
190,58000,-155.93267785482269
191,59000,-48.52224662096106
192,60000,-127.18940610700997
193,61000,-193.02609391726708
194,62000,-79.37347818884062
195,63000,-45.528096903449914
196,64000,-256.59250636343404
197,65000,-159.95219765464935
198,66000,-225.22927932732367
199,67000,-132.2890268067697
200,68000,-157.08564731597673
201,69000,-24.803452550471242
203,70000,-63.12410876802993
204,71000,-132.90555766853512
205,72000,-190.34568538797382
207,73000,-158.9053952548458
208,74000,-167.70771702245452
209,75000,-148.02435989283936
210,76000,-104.81724165769904
211,77000,-134.03563510385774
212,78000,-147.78402777693668
214,79000,-217.73724330707967
215,80000,-202.80581399202183
216,81000,-163.8195551233394
217,82000,-34.97363134798913
218,83000,-148.99689492036504
219,84000,-295.2347390512474
220,85000,-73.11542529029714
221,86000,-365.14827939136757
222,87000,-14.262411686609697
223,88000,-14.938478708922796
224,89000,-66.41290406969428
225,90000,-163.7485761109823
226,91000,-178.80253005259164
227,92000,-94.66261368522663
228,93000,-31.133726873158704
229,94000,-106.35874161369256
230,95000,-52.762697311119915
231,96000,-95.63385416595115
232,97000,-69.91517572829089
233,98000,-61.46418067013516
234,99000,-31.19162359046999
235,100000,-59.23769843800182
236,101000,-22.698277905998648
237,102000,-42.98925991691029
238,103000,-36.425418960196964
239,104000,-74.95795587920372
240,105000,-71.14324528016768
241,106000,-30.65789694163291
242,107000,-56.23774379012292
243,108000,-30.503056204696996
244,109000,-14.417053471053608
245,110000,6.625541352258112
246,111000,-134.10064354110156
247,112000,-108.92355886802673
248,113000,-63.254089514533376
249,114000,-9.6664072136565
250,115000,-74.10680976645878
251,116000,-163.23783406298142
252,117000,-229.90182199531878
253,118000,6.075063976054711
254,119000,-112.8546244961271
255,120000,-8.696837909176304
256,121000,-14.97560511490105
257,122000,-65.44551895363631
258,123000,-26.020541907076158
259,124000,-207.4429996819922
260,125000,-94.08298495255858
261,126000,-27.855419672647844
262,127000,-37.9682257248273
263,128000,-56.254255287363065
265,129000,168.93160699277257
266,130000,-126.93319523207884
267,131000,-40.32915063927219
269,132000,133.81410906059665
270,133000,-37.87398653894248
272,134000,-43.915823080652856
273,135000,-24.62550818484598
274,136000,-70.91701411958445
275,137000,3.0913348948496027
276,138000,-42.60711007041369
277,139000,-41.74360339997951
278,140000,214.55047011465388
279,141000,-135.09252338531064
280,142000,-307.8639613927147
281,143000,-19.043489392233838
283,144000,158.58868439649459
284,145000,-3.9758255636302673
285,146000,-51.635230821680835
286,147000,-20.401308918093108
287,148000,226.27950451690248
288,149000,170.73498608640404
289,150000,-45.60989800452107
290,151000,-40.15962945560604
291,152000,7.930177091611042
292,153000,162.1368382975404
294,154000,208.42660234429917
295,155000,187.12076325757945
296,156000,94.40730574155344
298,157000,218.81699068137186
299,158000,220.03870731330755
300,159000,-22.930561947116548
301,160000,-320.6527177998322
302,161000,-79.9932918580213
303,162000,227.04631114957851
306,163000,-6.177785461500278
307,164000,221.256199395973
308,165000,179.63945176074913
309,166000,4.110734961140301
311,167000,211.6504481553269
312,168000,96.1211876865805
314,169000,231.73041543537857
316,170000,-13.793848729686294
317,171000,0.01803925709996701
318,172000,102.77168099616758
320,173000,233.22669954574968
321,174000,-53.10945256662568
323,175000,230.5669140540661
324,176000,-39.01898563804725
326,177000,-25.372308302176407
327,178000,-0.9881676738601965
329,179000,-242.36824949227673
330,180000,112.02809365031248
331,181000,-248.46034473844875
332,182000,-78.64618924986654
