fta params:,lower,upper,delta,eta
,-1,1,0.03125,0.03125
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,40
Performance logging begins:
Episode,Step,Score
64,5000,-617.9947630258209
71,6000,-142.48439463606226
72,7000,-357.1324977438813
73,8000,-250.0899050928929
75,9000,-293.17359567896835
76,10000,-271.8507543240171
80,11000,-350.270024177448
81,12000,-189.5565258276121
82,13000,-786.8196151109972
83,14000,-290.8441273425259
84,15000,-92.35057288351335
85,16000,-167.571681339499
87,17000,-459.9587667161912
88,18000,-89.80762992721284
89,19000,-119.37534492510447
90,20000,-64.6090267417053
91,21000,-47.58255588687751
92,22000,-80.24824460331689
93,23000,-87.05536119165232
94,24000,-62.81273355486901
95,25000,-178.82016551189315
96,26000,-92.6587106193331
97,27000,-88.76372781593027
98,28000,-141.91173033602615
99,29000,-144.81573649572564
101,30000,-112.1708361119789
102,31000,-134.0377806472871
103,32000,-27.377961559727698
104,33000,-130.49023701657757
105,34000,-198.1992138252918
106,35000,-68.21384314486758
107,36000,-32.36563402682927
109,37000,-62.697465777528976
110,38000,-116.30787683806757
111,39000,-53.24514674613209
112,40000,-80.21297316749904
113,41000,-35.31858120302766
114,42000,-72.61157784474695
115,43000,-2.6705769822508216
116,44000,-116.90833000656983
117,45000,-33.07942393362684
118,46000,-45.36120288477941
120,47000,-70.82199727732856
121,48000,-46.72645492519951
122,49000,-19.01768412162599
123,50000,217.15723956057377
124,51000,-26.977304963564023
125,52000,-287.27930095667614
127,53000,-49.30269454718615
128,54000,-92.92356918704694
129,55000,-58.101657547433106
131,56000,-45.906277365008535
132,57000,-27.511024325563373
134,58000,-101.36463472144385
135,59000,-105.34712051544359
136,60000,-90.62412655999066
137,61000,-13.851661775395907
138,62000,-85.98783631820092
139,63000,-54.630482366874155
140,64000,-162.2217525862489
141,65000,-58.63309046984641
142,66000,-3.5810372487576956
143,67000,-31.570676566536115
144,68000,-113.52723589561828
145,69000,-54.896011138169044
146,70000,189.63226788123046
147,71000,-48.87243036466535
149,72000,-48.1977870233056
150,73000,-4.3347521676263705
151,74000,-2.801486120741004
152,75000,-8.221567800541479
153,76000,-31.48315698799155
154,77000,201.13206459165386
155,78000,-89.11183597912466
156,79000,-18.253554541805503
158,80000,-35.276874797557895
159,81000,-265.1412220976963
161,82000,8.2051231107386
162,83000,-15.526611448200171
163,84000,1.3849328548195694
164,85000,-232.61374726920013
167,86000,-94.46535571746347
168,87000,-267.18907693155097
169,88000,-7.359353767581831
170,89000,-22.211575385115022
172,90000,-45.081892060812095
173,91000,229.7837263113106
174,92000,-41.50434379641825
175,93000,-5.464141962639931
176,94000,-36.95765636210311
177,95000,247.15348462160281
178,96000,9.376940959617347
180,97000,29.03092947642574
181,98000,-81.33544651951334
182,99000,-28.633318135617976
184,100000,155.81356644910582
187,101000,15.911423912357494
189,102000,-227.5969026654048
190,103000,-70.96242755374338
192,104000,-11.090818898438059
193,105000,15.244501672826834
195,106000,230.6734565623531
197,107000,-4.010022013225068
198,108000,26.816259036467464
199,109000,7.644298620628691
200,110000,198.04919581301903
201,111000,-139.39507922917053
204,112000,14.578234581403493
205,113000,284.3105980456221
206,114000,2.174511263066208
209,115000,263.06436427523283
211,116000,207.08605663087252
213,117000,208.1657114044744
215,118000,250.07570733173307
217,119000,217.6623636685942
218,120000,256.21655006369076
220,121000,267.346800507427
222,122000,249.038928585561
223,123000,241.3242879636034
224,124000,260.8231988857067
226,125000,223.30729497924375
228,126000,251.55383224857638
230,127000,97.82196501628228
232,128000,143.69259545429443
233,129000,249.8215321200957
234,130000,246.95736644298603
235,131000,239.02287494781925
236,132000,280.21358611067956
239,133000,225.05179665040075
241,134000,173.58885965653084
243,135000,235.58390039073802
244,136000,231.3199975317763
246,137000,239.78940339362023
247,138000,258.19994592519555
249,139000,284.6938311928817
252,140000,271.84703762547196
253,141000,256.60368210756235
255,142000,271.8415143680031
259,143000,269.81743173643486
262,144000,101.28108488883808
264,145000,243.6160911682525
265,146000,229.39153496501748
267,147000,252.7481987623518
268,148000,246.0877371338807
271,149000,292.5207655763303
273,150000,149.73474497439335
274,151000,285.5145370095122
278,152000,230.03864048410165
281,153000,236.67484343689583
284,154000,295.54037387855146
286,155000,224.1371299492692
289,156000,218.48062462820337
291,157000,158.99515780018692
293,158000,239.8445092607527
295,159000,265.1652319750302
299,160000,146.18572627035604
300,161000,269.1355626910971
304,162000,285.6950906911618
307,163000,277.73288753115094
309,164000,184.87942078013774
311,165000,120.97781105960047
312,166000,270.0178615883817
314,167000,270.10730355651083
316,168000,283.5920642042496
317,169000,298.4100928303079
319,170000,284.8850417530939
320,171000,281.3428801082674
323,172000,271.8508223767394
327,173000,286.53226130852966
330,174000,148.53712514161845
332,175000,262.2080272728457
334,176000,138.80955773228038
337,177000,173.01726264803648
340,178000,287.30914965607514
341,179000,266.9460732629502
343,180000,255.7602869096902
345,181000,284.5989819719762
346,182000,278.2076619689773
350,183000,294.81005472256413
353,184000,288.6791414508358
355,185000,277.08655984800237
356,186000,254.5836338699773
358,187000,262.51625431969455
361,188000,262.29369969049446
362,189000,231.88752891458395
365,190000,226.05677190010715
367,191000,260.79998526251484
368,192000,155.77190428712964
369,193000,285.0577766606259
371,194000,281.24444844306845
374,195000,237.3737459236791
376,196000,237.6253673438455
378,197000,256.1287998824099
380,198000,284.97544149872317
383,199000,268.9108754350591
385,200000,213.43477884458707
387,201000,255.3305800322174
391,202000,284.22187901620487
392,203000,267.67569844997206
393,204000,240.69576357158107
396,205000,289.15819830760984
399,206000,250.42472853187533
402,207000,262.50590111338755
404,208000,276.75567984261596
407,209000,-219.27960953943722
409,210000,254.5206095503023
413,211000,264.2212640656451
417,212000,237.09443871492135
420,213000,267.55013386660994
422,214000,264.2073690397439
426,215000,270.6297561461612
428,216000,242.07018204617174
430,217000,245.78163838926403
432,218000,244.738026559049
435,219000,139.81244017552316
438,220000,245.10141507677187
439,221000,245.46122085454562
441,222000,279.3259936690948
443,223000,280.42018593140045
446,224000,280.84215442707324
449,225000,258.21913274804285
450,226000,247.44288696659427
454,227000,250.11128777381205
457,228000,144.52654432500373
460,229000,245.1093224442193
464,230000,253.70917292876257
467,231000,267.6301803228207
469,232000,279.75568422677924
472,233000,274.3305814140135
476,234000,-245.481687464877
478,235000,242.6071793570236
481,236000,200.34189612460503
484,237000,255.4818432475087
485,238000,241.69896788066677
487,239000,277.206950755713
490,240000,242.73744405564452
494,241000,147.9661574499575
498,242000,294.6152853413459
500,243000,28.11332286026291
503,244000,-36.98915236998626
506,245000,285.887485559893
507,246000,291.8600229371855
511,247000,284.7681631701334
513,248000,28.12620357679762
515,249000,240.4262588913103
518,250000,275.4334707350748
520,251000,283.43101178213567
524,252000,239.74356999892723
526,253000,269.30855006889925
528,254000,243.28623619971455
531,255000,41.30124746387989
535,256000,282.35524960247363
538,257000,218.43586278022258
541,258000,277.70957885048114
545,259000,236.1659379981734
546,260000,256.60401150032624
550,261000,254.18369668242983
552,262000,284.6448761672824
555,263000,242.51223178195326
558,264000,264.82388382718057
560,265000,38.12604262323987
563,266000,146.57570000386653
566,267000,231.33011374922734
570,268000,18.86842129181595
575,269000,283.84204300180136
578,270000,259.2356190402976
