fta params:,lower,upper,delta,eta
,-1,1,0.1,0.1
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,50
Performance logging begins:
Episode,Step,Score
49,5000,-440.317275703031
63,6000,-170.8200693044165
77,7000,-139.0979928639965
85,8000,-163.92382387753992
99,9000,-256.63301023546785
113,10000,-164.15083761291106
126,11000,-175.22936074926477
139,12000,-130.11435969825584
150,13000,-228.5909105980562
158,14000,-213.99852203579678
168,15000,-49.53730606577058
178,16000,-126.85492822485757
188,17000,-110.09489837255984
197,18000,-311.66178378073005
207,19000,-251.2050319508975
215,20000,-142.50526055163402
225,21000,-196.45830961037632
234,22000,-272.76428955469964
242,23000,-206.21210411868913
251,24000,-322.84779899083156
259,25000,-63.2432371510294
266,26000,-243.19550893099333
274,27000,-169.5648125256879
281,28000,-184.89433305376366
289,29000,-220.5199565348232
297,30000,-310.65387223563346
305,31000,-267.46938236150595
313,32000,-307.0411459485979
321,33000,-86.03145371287223
329,34000,-176.33555951325133
338,35000,-207.9977330717136
347,36000,-188.77936170360746
354,37000,-260.0270074794309
362,38000,-169.13592846318585
369,39000,-242.15586470192127
376,40000,-167.3550945475851
384,41000,-203.19119657223348
391,42000,-200.22350826905284
398,43000,-241.61625692220372
404,44000,-264.2427433003279
410,45000,-130.6236874886544
416,46000,-248.2014680003523
423,47000,-258.40940032597234
429,48000,-186.8368710465374
435,49000,-218.35630203629736
442,50000,-233.9313694142279
448,51000,-238.27868137785163
453,52000,-68.68282500548622
458,53000,-337.06608223809906
464,54000,-267.28125547113063
468,55000,-262.8363465396892
474,56000,-199.80223610956233
480,57000,-241.38717384521794
486,58000,-236.02956838525031
489,59000,-224.4674019927022
494,60000,-244.00089605006116
500,61000,-81.08858938378846
502,62000,-69.23563993139044
506,63000,212.982208587508
511,64000,-59.63124141694557
514,65000,-391.9149417067412
518,66000,-204.55164554608055
521,67000,-192.84009228303188
523,68000,-181.8377896736099
525,69000,-139.79909680250086
526,70000,-135.57456866492606
528,71000,-160.37884408170058
530,72000,-140.40909877003017
532,73000,-244.05179641435168
535,74000,2.497803545042572
537,75000,-153.36957499239315
539,76000,-89.29151671832231
544,77000,-232.2201782407531
551,78000,-156.0105502803154
557,79000,-131.26538844846593
564,80000,-96.52668438297208
571,81000,255.23305796123879
577,82000,-110.79976203218627
584,83000,-63.94148110772508
590,84000,-61.351511715975846
596,85000,-186.5085431186107
600,86000,-239.38835392075197
606,87000,-105.91367757084892
612,88000,-2.0968377293294935
618,89000,-347.29954724700747
625,90000,-119.32768037356826
632,91000,-33.42408776629928
638,92000,-107.74535155362818
646,93000,-107.96811491384841
652,94000,-49.77537829926767
658,95000,-142.22516123080467
664,96000,-178.47398700449338
668,97000,-86.17197513355926
669,98000,-163.51734736769646
670,99000,-70.54757339188606
678,100000,-15.741091868764826
685,101000,-188.42991665527225
686,102000,-72.46361555631476
693,103000,-83.62954859909823
700,104000,-215.76510687012728
707,105000,-48.95221414487639
714,106000,-226.28135898684678
715,107000,-65.1176869732345
721,108000,-201.75755494275586
727,109000,-200.8565668965045
735,110000,-293.37565863873726
739,111000,-96.69294722787635
742,112000,-120.11954785446466
747,113000,-70.48580711860949
748,114000,-94.9564528221564
754,115000,-16.806570829089537
759,116000,-174.4153591717498
762,117000,-24.270648511525025
766,118000,-198.58158932679814
772,119000,-137.7264019318901
778,120000,-202.12185104051096
783,121000,8.185953288057618
789,122000,-178.6952918618475
794,123000,-141.12518310948758
801,124000,-168.86359040971442
804,125000,-144.23544576986484
810,126000,-168.45890339124804
815,127000,-152.5933740362051
822,128000,-288.6278905602758
829,129000,-25.463274005004465
837,130000,-127.97466495825437
839,131000,-113.0741637967729
847,132000,-2.785649175334356
855,133000,-17.101761451490958
863,134000,-113.44654281497415
868,135000,-94.49686298505615
873,136000,-113.31396634321254
879,137000,-147.83956810896962
886,138000,-213.36677467056515
