fta params:,lower,upper,delta,eta
,-100,100,10,10
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,50
Performance logging begins:
Episode,Step,Score
40,5000,36.877822520006816
54,6000,-163.62367202110306
68,7000,-143.04584935170894
82,8000,-71.35105852135104
94,9000,-173.8365232947977
106,10000,-132.809885929429
119,11000,-128.36557231229085
134,12000,-137.89097986342185
145,13000,-136.79289298587537
154,14000,-135.95306028098022
163,15000,-145.5121169791903
175,16000,-179.59872732548783
184,17000,-240.72661477479397
191,18000,-206.42479252539283
196,19000,-407.01303374013514
206,20000,-109.15837208876576
216,21000,-149.73810926767823
226,22000,-89.6068730881151
232,23000,-19.756962252080513
238,24000,-331.5780815090306
247,25000,-224.18920106775545
256,26000,-347.20702622310637
266,27000,-277.5999601970334
275,28000,-227.08893341720858
279,29000,-133.0501591236277
287,30000,-80.80098976325621
295,31000,-60.06697316073107
303,32000,-239.23799318469173
306,33000,-253.5227749847377
311,34000,-162.2366165459435
317,35000,-126.86690090702315
322,36000,-37.13050820843202
328,37000,-329.55235595794886
333,38000,-64.10606378147376
341,39000,-141.4131044199945
347,40000,-58.4998365757354
351,41000,-54.19065928156474
355,42000,-189.7962929326211
359,43000,-166.16483659408829
363,44000,-161.04122710296855
370,45000,-137.43165442687723
374,46000,-197.23042835452702
379,47000,255.6327265960242
384,48000,-304.0049405072668
389,49000,-154.7184378709905
396,50000,-227.88383237678516
401,51000,-25.657945873286494
405,52000,-25.47217641608529
408,53000,-138.1867715472719
410,54000,-15.87182141549259
415,55000,-144.7862180592253
421,56000,-133.23305675100016
425,57000,-161.25671025927875
431,58000,-121.35826237086403
439,59000,-201.54041740242428
444,60000,-134.1490410488786
450,61000,-72.03023506712526
454,62000,-85.35381569018206
458,63000,-266.6945322086883
463,64000,-169.18041331009005
468,65000,-98.92418715360652
474,66000,-111.08715779807275
478,67000,-194.46934536331185
485,68000,-277.83509049884185
488,69000,-178.28275226929034
494,70000,-75.65224656784997
500,71000,-118.14746173302382
505,72000,-112.03067746962108
510,73000,-245.13706793527214
517,74000,-192.94920207970614
523,75000,-273.839946090553
525,76000,-55.35460187440957
529,77000,-172.21248434687618
537,78000,-132.70360753481123
544,79000,-122.92684609689174
551,80000,-133.1453362193447
555,81000,-159.8495206349409
563,82000,-89.38975655838182
572,83000,-60.57706193544995
577,84000,-104.78122023955585
579,85000,-236.42870825248608
590,86000,-104.62448066615838
593,87000,-93.72123271580013
598,88000,-102.95139810804196
603,89000,-151.038628460853
609,90000,-136.47902360286784
619,91000,-104.84646579654579
629,92000,-146.66392961946258
637,93000,-121.93774158502664
646,94000,-158.00005390541142
658,95000,-115.38031537364685
672,96000,-88.66843047762092
685,97000,-103.78768192252518
695,98000,-74.04906177397768
703,99000,-74.60413491565862
712,100000,-122.07166443492252
722,101000,-130.51350559775761
733,102000,-235.67315686436993
740,103000,-119.49358063580154
750,104000,-91.23987035249779
756,105000,-161.94445475178478
763,106000,-84.08898270349724
776,107000,-120.48097174007273
788,108000,-121.81735272785949
799,109000,-79.73091798689697
809,110000,-154.14292391643494
822,111000,-119.64021197870906
833,112000,-140.05198349371113
844,113000,-222.18741037264311
856,114000,-165.31467677701062
867,115000,-103.31726455578998
879,116000,-79.20166324797754
890,117000,-70.70451280207376
902,118000,-120.23286117942956
915,119000,-158.84251175218697
928,120000,-108.16922419842551
939,121000,-150.0605556318939
951,122000,-178.6718009942008
964,123000,-140.92503726354937
977,124000,-31.21752829706176
989,125000,-78.07349133453107
998,126000,-132.87289616761637
1010,127000,-86.51449302485099
1022,128000,-138.8783564886938
1033,129000,-114.77139106592361
1041,130000,-56.195762586185964
1052,131000,-88.74918947332472
1059,132000,-135.92910396817499
1068,133000,-70.66976764359048
1079,134000,-96.605131852508
1091,135000,-137.6598050709428
1099,136000,-48.82700269916489
1105,137000,-78.47393224703761
1115,138000,-90.08710226239724
1124,139000,-110.02574293157218
1133,140000,-109.67035096506086
1138,141000,-119.59398790954464
1150,142000,-98.10921116201855
1158,143000,-177.88281702290783
1166,144000,-119.12069883263347
1174,145000,-138.3179125466859
1178,146000,-233.80497928659585
1188,147000,-167.95172619020298
1197,148000,-249.5333339804858
1203,149000,-24.307484235855753
1208,150000,-153.70447554224444
1215,151000,-118.66256209746503
1222,152000,-340.34426455641045
1229,153000,-227.78672477852373
1235,154000,38.97199096322214
1243,155000,-154.9917820580439
1252,156000,-132.72198056762602
1260,157000,-101.56697502279566
1268,158000,-107.04720691138357
1275,159000,-302.95389327239434
1280,160000,-99.96861518737484
1282,161000,-201.4472099494965
1289,162000,-54.623625599906916
1293,163000,-95.08725694143126
1296,164000,-158.6980566108341
1302,165000,-145.45326329661307
1307,166000,-87.50963289566728
1317,167000,-70.59943899589703
1324,168000,-126.46582758935014
1332,169000,-119.65350599173473
1340,170000,-134.25885118810652
1349,171000,-142.31629702621512
1359,172000,-73.7462283659333
1367,173000,-202.8094155815727
1376,174000,-356.57938641940405
1386,175000,-254.0979925604183
1395,176000,-285.0357085407561
1406,177000,-84.90338263946448
1416,178000,-260.87097572816896
1427,179000,-255.60931475087668
1436,180000,-217.93092639544693
1446,181000,-137.51118847443013
1454,182000,-98.58268439311499
1465,183000,-136.97702539228823
1476,184000,-140.89313522714139
1488,185000,-68.08483737519308
1499,186000,-57.393503400790436
1510,187000,-157.74607776231898
1519,188000,-160.13744365317805
1530,189000,-126.62227777890597
1539,190000,-143.4538900545673
1549,191000,-37.26950772636066
1560,192000,-128.7277429002921
1571,193000,-85.95141263118836
1581,194000,-37.52005981703256
1591,195000,-90.3624822676041
1600,196000,-74.881366335256
1608,197000,-184.3388298126918
1618,198000,-139.04622020602454
1627,199000,-129.02879672865714
1640,200000,-339.46953968467903
1650,201000,-120.97585358399205
1661,202000,-395.86477081772006
1671,203000,-191.9147865362715
1678,204000,-426.0029884381324
1683,205000,-103.72519940549259
1690,206000,-430.71621813603974
1698,207000,-273.49118072203635
1706,208000,-89.60989935807282
1714,209000,-95.71059287328009
1723,210000,-194.8341636528084
1731,211000,-111.87732530407483
1739,212000,-15.371395739524985
1749,213000,-70.79730004121927
1760,214000,-96.80111379916308
1770,215000,-130.02392328318857
1781,216000,-64.52123956501373
1791,217000,-75.02485090020409
1804,218000,-61.887832052683244
1815,219000,-318.0587832202771
1826,220000,-209.34461334992764
1838,221000,-167.94348025046514
1847,222000,-97.16304419038042
1856,223000,-151.7318221543511
1868,224000,-315.44376729791634
1878,225000,-116.6735988769659
1889,226000,-293.4788827629643
1901,227000,-236.96454857264064
1912,228000,-304.37454226021606
1923,229000,-87.37932276632237
1934,230000,-94.61146994663605
1945,231000,-147.56062146685974
1956,232000,-55.94551148445616
1967,233000,-96.38745651268337
1978,234000,-111.37748528729607
1988,235000,-113.44985932536075
1999,236000,-184.80953866750826
2009,237000,-161.81757324607477
2019,238000,-131.52704023266782
2029,239000,-124.5568499602629
2040,240000,-335.8722803493765
2050,241000,-219.25027431971006
2062,242000,-60.639780537774925
2074,243000,-115.0254083968549
2087,244000,-142.76915683427416
2099,245000,-140.16200660151006
2111,246000,-176.15891251602625
2121,247000,-113.55880831064127
2134,248000,-153.17781038923005
2147,249000,-199.27605938447084
2159,250000,-156.76563155183388
2173,251000,-119.2273716593015
2186,252000,-128.54584257636546
2199,253000,-128.19117820930876
2212,254000,-160.22544324987228
2224,255000,-245.92868024325793
2232,256000,-153.34538696292014
2245,257000,-76.96393965473459
2258,258000,-156.71932520165228
2271,259000,-126.09382935786479
2284,260000,-89.24939511454441
2296,261000,-7.468530793903923
2308,262000,-152.37301637255462
2320,263000,-99.82119451102686
2332,264000,-42.13451612834516
2344,265000,-99.24028393893153
2356,266000,-87.68276513586247
2367,267000,-114.99722377676655
2381,268000,-129.43177462634836
2395,269000,-141.96687342716137
2408,270000,-299.03640037030186
2422,271000,-169.66106291671275
2434,272000,-128.36806349893044
2448,273000,-161.42230589770298
2461,274000,-129.8957140385608
2475,275000,-84.27459386636897
2489,276000,-397.5636293691224
2503,277000,-113.60699297504331
2516,278000,-112.40145177837752
2530,279000,37.36541431817176
2543,280000,-107.05614046593743
2557,281000,-105.22032856429365
2571,282000,-352.93758456943715
2585,283000,-213.22053070343043
2597,284000,-88.363698006208
2611,285000,-212.95234295710912
2625,286000,-219.83885057775112
2639,287000,-110.24888824331396
2652,288000,-233.66308462205285
2663,289000,-138.25313621193825
2676,290000,-263.0598025770345
2688,291000,-214.9732561218654
2699,292000,-233.8730879350805
2712,293000,-118.69096411583784
2723,294000,-94.67644583736408
2734,295000,21.24233334955879
2743,296000,-74.70927969680176
2754,297000,-184.77361770860298
2763,298000,-56.51478352389553
2774,299000,-195.93892107838644
2783,300000,-155.37559645747672
2791,301000,-102.93975501311903
2800,302000,-189.83255154573476
2807,303000,-109.38209840145915
2817,304000,-96.221330284264
2829,305000,-114.36578051474838
2836,306000,-103.41472333551323
2844,307000,-121.45151792077326
2850,308000,-128.05747325528276
2856,309000,-120.06117448636934
2862,310000,-241.21164191476413
2866,311000,-184.48142823540817
2871,312000,-762.5899404786688
2873,313000,-29.473756288312217
2879,314000,-81.12190382131126
2882,315000,-373.2214673627567
2890,316000,-245.6406187153222
2897,317000,-2.9074002878160172
2906,318000,-284.86970668085223
2910,319000,-176.1590128810504
2916,320000,-171.80775506182377
2923,321000,-120.40823742906586
2926,322000,-356.8075675394325
2932,323000,-263.9741977904404
2937,324000,-334.5387213330825
2944,325000,8.038210965804453
2950,326000,-31.544895762075882
2956,327000,-274.127981255699
2962,328000,-65.18052485379002
2965,329000,-292.6270742580917
2968,330000,-397.5583073950557
2972,331000,-260.1121539615964
2979,332000,-219.47662925545313
2985,333000,-221.23250894036315
