fta params:,lower,upper,delta,eta
,-0.1,0.1,0.003125,0.003125
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.01,8,0.0001,50
Performance logging begins:
Episode,Step,Score
50,5000,-525.5817058067457
57,6000,-450.8136333422974
61,7000,-272.97976890561864
64,8000,-391.60349539500777
66,9000,-335.75909980816664
68,10000,-185.49008900646368
70,11000,-260.3773632879758
71,12000,-136.11451005246042
72,13000,-362.6734850783354
74,14000,-297.88702629585737
77,15000,-267.068084140266
81,16000,-537.2703827287576
86,17000,-229.6262183933743
87,18000,-296.6677965071419
88,19000,-170.1064496212383
90,20000,-256.8956270065619
91,21000,-231.6133822143835
95,22000,-280.0563026959069
96,23000,-220.32312761976408
98,24000,-150.4205483020561
99,25000,-264.867450718055
100,26000,-166.75609040279153
101,27000,-14.98528517584694
103,28000,-156.113623028455
104,29000,-96.1201066301129
105,30000,-298.2749954390273
107,31000,-25.601899641037036
109,32000,162.37921326722167
110,33000,-197.045323597099
111,34000,-187.83410604231167
114,35000,-310.19535230053316
115,36000,-162.93243794633557
118,37000,-127.6737802558129
121,38000,-242.5436601946684
122,39000,-178.32054266112868
125,40000,-86.29908029519294
127,41000,-41.75564246413981
129,42000,-36.02426394814472
131,43000,-103.31165550491488
132,44000,137.45250913380698
133,45000,127.53153308877849
134,46000,-92.3712520860226
138,47000,-153.41999697793253
141,48000,142.07679721676317
142,49000,-62.244854858961034
144,50000,-104.93185730872324
145,51000,5.821519199762228
146,52000,-64.46719648067992
149,53000,-131.1880349195114
150,54000,161.77553414156873
152,55000,-91.02964440627038
153,56000,-102.66653050316131
155,57000,-85.80134319495639
156,58000,-68.0881285680014
158,59000,-140.08364765353235
159,60000,-69.91621669492294
160,61000,-44.20137631804226
163,62000,-143.79509461547974
164,63000,-215.97072600342528
165,64000,-93.17995169127475
168,65000,-37.39996284370365
169,66000,-36.80355323919784
171,67000,-79.89607117294919
172,68000,-94.56815596114515
174,69000,-73.77821319823792
176,70000,-95.45383992271695
177,71000,11.393282419910562
179,72000,-51.920799852353284
181,73000,-45.47147322789472
182,74000,-101.59940275620811
183,75000,-193.44719792047164
184,76000,-52.98548060730468
186,77000,-224.55347596818115
188,78000,-163.97927799853161
189,79000,-184.46001745636966
190,80000,-82.3426387990664
191,81000,-27.777710723042702
192,82000,-217.3237662501727
193,83000,-89.74594505490302
194,84000,-263.8648987789915
195,85000,-34.47143610677364
196,86000,214.54537759475784
199,87000,-195.36575846822083
201,88000,-107.33763694206155
202,89000,-26.00143487594543
203,90000,-104.4517789216642
205,91000,5.5988692214904034
208,92000,200.79083866491573
209,93000,-179.6572878519076
210,94000,189.32410539594312
211,95000,-46.723558182776934
