fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.01,8,0.0001,60
Performance logging begins:
Episode,Step,Score
63,5000,-485.49755844437937
74,6000,-121.18034129488227
89,7000,-168.97455288018557
103,8000,-551.4420855719327
118,9000,-140.65283769151097
132,10000,-285.8510830847881
142,11000,11.634829632262651
152,12000,-70.91101279128301
161,13000,-46.12852505174769
168,14000,-124.82900107683744
176,15000,-140.3118572448661
183,16000,-332.2034439731914
191,17000,-292.31503861306766
198,18000,-222.38994707837304
208,19000,-367.50954422537507
215,20000,-316.2901896805316
222,21000,-238.57627187557785
227,22000,-325.6859372073786
233,23000,-237.16012311020182
239,24000,-181.59595539069204
244,25000,-47.713657929513374
247,26000,-290.910151674276
249,27000,-267.73071848452344
251,28000,-297.31116928126124
255,29000,-271.42596670431794
257,30000,-302.1118954349233
259,31000,-294.82703184784367
260,32000,-309.80168383883415
261,33000,-204.757113206123
262,34000,-302.27733485617483
265,35000,-247.39065933825697
269,36000,-231.0355456618383
270,37000,-65.83018490888074
271,38000,-74.2770852798406
272,39000,-39.96658711950101
273,40000,-173.25147031488427
274,41000,-181.43899739424367
275,42000,-140.50014806039073
276,43000,-151.98566007884148
277,44000,-132.3348548754434
278,45000,-149.4508155394201
279,46000,-167.92202986632236
280,47000,-119.50190554513881
281,48000,-110.66390220716079
282,49000,-152.092488043915
283,50000,-124.90825518030566
284,51000,-89.2701488113081
285,52000,-87.79905532794116
286,53000,-119.77410756707586
287,54000,-164.06346495578478
290,55000,-188.16676548063725
291,56000,-91.08197679572605
292,57000,-100.15032447544883
293,58000,-87.20302445437817
294,59000,-267.25192836159
295,60000,-184.16785902487237
296,61000,-103.6380916349344
297,62000,-30.504593322050823
298,63000,-46.382644756311926
299,64000,-300.9436870285077
300,65000,-173.60905597913325
301,66000,-66.53621787943773
302,67000,-109.99660440958517
303,68000,-95.02208486841381
305,69000,-20.209260226413562
306,70000,-65.06790758848983
307,71000,-102.22650275856994
308,72000,40.6951974688158
309,73000,-32.76590856934142
310,74000,-80.97168157248254
311,75000,-78.59854100361896
312,76000,-81.93992324712734
313,77000,-35.1463149069138
314,78000,-120.2939957432365
315,79000,-49.43166383947985
316,80000,-88.81703777834161
317,81000,-152.50826795211975
318,82000,-95.38189051151305
319,83000,-88.13458648552896
320,84000,-68.2775704903161
321,85000,-159.33743157313455
322,86000,-164.25502441625954
323,87000,-159.28860098157716
324,88000,-127.71445374172212
325,89000,-117.78210480963031
326,90000,-151.3249139149638
327,91000,-84.66393570791696
328,92000,-150.95794312154305
329,93000,-139.2784971703227
330,94000,-106.47381513259211
331,95000,-121.71579842296521
332,96000,-155.23628266214104
333,97000,-130.84494240473649
334,98000,-322.88531173087813
335,99000,-123.18497332115987
336,100000,-129.71086549043252
337,101000,-168.5565318147258
338,102000,-129.09771198704965
339,103000,-137.21243823409472
340,104000,-167.78149288588025
341,105000,-95.13667974239301
342,106000,-152.1697069643129
343,107000,-132.38917998325718
344,108000,-142.69285792998076
345,109000,-137.8925155379154
346,110000,-125.4058875745663
347,111000,-152.5795982361571
348,112000,-147.51934682851183
349,113000,-138.4903667051089
350,114000,-164.23807903235303
351,115000,-193.16467792257237
352,116000,-183.16089268567578
353,117000,-152.6879740689712
354,118000,-309.38653963820275
355,119000,-115.62494837691507
356,120000,-367.84089294299184
357,121000,-143.01934099422073
358,122000,-121.09843065095932
359,123000,-181.2959096245357
361,124000,-219.3339949667301
362,125000,-301.56141716486064
363,126000,-180.21640464713872
364,127000,-209.31731907745473
365,128000,-133.0007373116597
366,129000,-224.3616124109124
367,130000,-123.33058703809604
368,131000,-198.5735697043461
369,132000,-211.88501719441769
370,133000,-217.3787916837952
371,134000,-161.89622074587956
372,135000,-113.11314898300229
373,136000,-172.24710135023778
374,137000,-88.25191108768277
375,138000,-101.94105621046207
377,139000,-97.08868460812842
379,140000,-101.75998756930258
380,141000,-33.4739938466786
381,142000,-99.80505570507252
382,143000,-30.10280065331104
383,144000,-74.5111205528573
384,145000,-140.465635840022
385,146000,-134.69470849829753
386,147000,-113.54113303599883
387,148000,-101.74699405436678
388,149000,3.049812166034096
389,150000,8.921560580976498
391,151000,96.61205311362471
392,152000,-31.40312914762269
393,153000,26.412188991687998
394,154000,-136.30520090932123
395,155000,-27.854277505638407
396,156000,-19.27589228004386
397,157000,-67.83143990055652
398,158000,-38.74611481991662
399,159000,-171.93017656334337
400,160000,-23.832023784864006
401,161000,10.603061847929812
402,162000,-52.78452425033345
403,163000,7.6376826858970475
404,164000,-109.1306191091815
405,165000,-29.237244360652067
406,166000,-141.67412274907093
407,167000,24.678351171699994
408,168000,-137.1983145159569
409,169000,5.1370931395069155
410,170000,28.98206396991437
411,171000,-19.319391799024633
412,172000,-139.76407749549912
413,173000,-102.67145680891822
414,174000,-250.10947232648823
415,175000,-180.9836337944765
416,176000,-58.71772548288354
417,177000,-277.7886443313966
418,178000,-103.11329337366627
419,179000,-181.9299382665719
420,180000,-217.4540577940444
421,181000,-96.38116241110731
422,182000,-149.89702495766096
423,183000,-142.3368018918625
424,184000,-173.74538927870515
425,185000,-6.067760631502099
426,186000,-35.597732875335275
427,187000,-107.36588954592224
428,188000,-128.39579536092018
429,189000,-128.39884409590078
430,190000,-15.152645656850941
431,191000,-95.28219717903339
432,192000,-38.73035656188125
433,193000,-66.33622485835548
434,194000,5.485407052052474
436,195000,-43.18188437181926
437,196000,-585.4703155655486
438,197000,-35.03948846980992
439,198000,-84.62716521613245
440,199000,-54.46345205032004
441,200000,-49.19473852661043
442,201000,-50.82563729392072
443,202000,-48.50308241559322
444,203000,-63.90502582298387
445,204000,-65.87376749775834
446,205000,-73.12619707471289
447,206000,-97.66870109017032
448,207000,-60.96728287897277
449,208000,-40.21820449137959
450,209000,-114.95630932814734
451,210000,-75.87356768523912
452,211000,-117.82417397207546
453,212000,-63.80397975414631
454,213000,-44.81881935035459
455,214000,262.81861999989076
456,215000,-66.42686343275835
457,216000,-72.57321944283012
458,217000,-251.01010380341486
459,218000,-170.47185907534134
461,219000,-140.07122030029328
462,220000,-125.91170185686946
463,221000,-221.53746080866256
465,222000,-50.83610449433438
467,223000,195.00423858309807
469,224000,-23.23485324296713
470,225000,-96.86960765813053
474,226000,-273.4512378322514
475,227000,-223.9092665909047
477,228000,-132.56083821167994
480,229000,-275.9654082806037
482,230000,-301.2169199222555
486,231000,-56.700620778479745
488,232000,-175.42440190252896
490,233000,-124.66094077369776
492,234000,-97.20271042506637
493,235000,-105.97035406221822
496,236000,-42.19722949188359
497,237000,-33.54248201232251
498,238000,-140.4651022677346
499,239000,-98.98846121960246
501,240000,272.27547050021315
502,241000,-64.51361915506477
503,242000,-77.79722144297853
504,243000,-117.23824184486472
506,244000,-104.99957068985671
507,245000,-81.27544608255505
508,246000,-120.13463371514851
509,247000,-66.40830018512406
510,248000,-35.91319531337375
511,249000,-43.92426220726962
512,250000,-21.164686833494017
513,251000,-64.57260815980361
514,252000,-140.0409569301311
515,253000,-82.25695438891668
516,254000,-53.55577496583535
517,255000,-13.821863309163415
518,256000,-80.39546530901255
519,257000,-111.76793202262499
520,258000,-101.7502496990762
