fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.01,8,0.0001,10
Performance logging begins:
Episode,Step,Score
69,5000,-481.42012305090736
79,6000,-197.68622399294327
92,7000,-162.7132223278032
106,8000,-138.17957173325294
120,9000,-72.42106386176417
135,10000,-168.51953987081194
149,11000,-173.2553172738066
163,12000,-95.6567495235987
174,13000,-68.07689364549837
178,14000,-38.10120715874969
183,15000,-221.19614373640908
186,16000,-194.2546242856447
189,17000,-161.0963412551005
191,18000,-139.60438206514473
192,19000,-63.48433319400989
193,20000,-181.8150898229572
194,21000,-113.77153009540538
195,22000,-146.8333426823607
196,23000,-88.0394794210767
197,24000,-130.9092827179361
199,25000,-150.9388202214136
201,26000,-171.0470351378665
203,27000,-154.01402457908785
204,28000,-105.69592475966732
205,29000,-229.9682207551452
206,30000,-130.7222552528899
207,31000,-135.95893656046303
210,32000,-202.21025263024586
212,33000,-28.833998374490644
213,34000,-78.80078687196122
215,35000,-138.89487934653266
218,36000,-232.08992491180246
219,37000,1.8809156536677432
221,38000,-110.20728362299583
223,39000,-152.35582291449253
225,40000,-200.34467787767142
226,41000,-136.3539640388463
227,42000,49.14260643167478
228,43000,-156.04750306278228
229,44000,-157.66428938697507
230,45000,-105.18568164493533
231,46000,-179.8596029100794
233,47000,-106.96419632453178
234,48000,-103.76626019188475
236,49000,-291.2733584390563
237,50000,-281.6974874453898
239,51000,-129.38169488966915
242,52000,-160.00637430878876
243,53000,-146.7206440821911
245,54000,-123.70446105471207
247,55000,-179.02496174873588
248,56000,-198.30894260547296
250,57000,-190.99834660934877
252,58000,-232.02296394528761
253,59000,-85.37631584050176
254,60000,-39.353541130603446
255,61000,-185.37222876923204
256,62000,-180.23504775503076
257,63000,-41.669695391405206
259,64000,-377.0599024718441
260,65000,-151.14223686638545
261,66000,-84.7525731619154
262,67000,-121.22238613578847
263,68000,-72.03429064897104
264,69000,-115.72733778848675
265,70000,-150.06992544132456
266,71000,-38.14135823519604
267,72000,-128.65286920290174
268,73000,-93.21035740200371
270,74000,-396.9672466301354
271,75000,-37.98829773559427
272,76000,-137.784057119584
273,77000,-85.60222387870745
274,78000,-81.30508389976586
275,79000,-121.97841841038263
276,80000,-128.5411666604356
277,81000,-171.39108610689752
278,82000,-67.442762215837
279,83000,-269.5014190940568
280,84000,-638.7847228417928
281,85000,-173.09611872900805
282,86000,-58.016295067832345
283,87000,-82.38451159971108
284,88000,188.77371360361195
285,89000,-122.48688644922525
286,90000,-88.43505274866469
288,91000,-200.6431576811351
289,92000,-267.1655817797302
290,93000,-129.13222628736543
291,94000,-152.26879512571338
292,95000,-185.33888567090924
293,96000,-188.1343571910449
294,97000,-9.408708724795062
296,98000,-41.931710978789376
297,99000,-233.75955294286376
299,100000,-248.89724481879603
300,101000,-144.7822429479297
302,102000,84.4607552252501
303,103000,-120.06465359653711
304,104000,-135.40507142549177
306,105000,-203.31982295593644
307,106000,-155.38528076097597
308,107000,-67.99729372282151
309,108000,-58.38486199795359
311,109000,-99.10119802381375
312,110000,-71.11462941750219
313,111000,-19.548009951802925
315,112000,-277.692203990806
316,113000,-82.47092135521545
317,114000,-191.47698319384523
318,115000,-61.449418238926434
319,116000,-129.95808417411234
320,117000,-52.995349536281275
321,118000,-204.47843388450212
324,119000,-46.108979277891365
326,120000,-20.18072610848232
327,121000,-226.01908528691496
328,122000,-179.21137491793132
329,123000,-65.17299585817302
331,124000,-133.54454014781822
332,125000,-14.038048123606572
333,126000,-108.79393586663845
335,127000,59.5639199018671
336,128000,-100.24267302046556
337,129000,-96.71978595595026
340,130000,-112.22773998044623
342,131000,-90.4575459570922
344,132000,0.8783871046769967
345,133000,-104.8470459868216
347,134000,-111.77009156312184
349,135000,18.443225724938042
350,136000,9.245819601212839
351,137000,-73.86190192275555
352,138000,-92.09365585195764
353,139000,-65.02247171136197
354,140000,-3.666237717995916
355,141000,-81.85262894079875
356,142000,-70.68655157216736
357,143000,-87.07015363001312
361,144000,-168.89410579187262
363,145000,-210.66336641756624
365,146000,-72.13495761554358
366,147000,-45.85460331618593
367,148000,-76.74314404154589
368,149000,-211.9832320680287
369,150000,-49.440794777757326
370,151000,-24.754840493151704
371,152000,-121.7132303364339
373,153000,-39.27340983063499
374,154000,-45.65434993937616
375,155000,-71.95540182467533
376,156000,-22.15923797679339
377,157000,-117.3299448100154
378,158000,-25.528941365251523
379,159000,-76.80455131960368
380,160000,9.929755936201829
381,161000,-8.90050404369241
382,162000,-63.81027510031695
383,163000,-100.75932686585452
385,164000,-37.20494762066023
387,165000,-66.43813910866173
388,166000,-58.903165456905754
389,167000,-5.073479566250341
390,168000,-60.91302547402342
391,169000,-19.452778676555244
392,170000,-4.1092345797704
393,171000,-75.92707015842696
395,172000,-71.61306615556217
396,173000,-59.33647453070237
397,174000,-75.97245387743108
398,175000,-91.81957705550482
399,176000,-119.97754189208119
400,177000,-18.84978603832676
401,178000,-3.16806683119791
402,179000,4.707128251532177
403,180000,23.21783581808672
404,181000,-47.990731241794556
405,182000,22.63464447348559
406,183000,-82.48799849551833
407,184000,-57.690097672768935
408,185000,-11.555483838642107
409,186000,-18.35426264697268
410,187000,-13.282880492288076
411,188000,-2.458404086302445
412,189000,-0.08920498266237153
413,190000,-129.7766283841708
414,191000,-6.8659617011782474
415,192000,-183.3431225640489
416,193000,3.9513450823915983
417,194000,-67.422029580023
418,195000,-48.1789213839572
419,196000,-40.5438588121585
420,197000,-39.370202135699174
421,198000,23.348545621871903
422,199000,16.29320499489513
423,200000,-25.002951363783986
424,201000,-27.89826879429535
425,202000,1.439922870453851
426,203000,-53.63915125021361
427,204000,-35.529522723212466
428,205000,-15.990627017200097
429,206000,-22.580554365460454
430,207000,2.866559271070466
431,208000,-29.127287399318114
432,209000,-25.894840980409917
433,210000,-19.53450283383505
434,211000,-66.23611115479378
435,212000,-38.25720880679547
436,213000,-67.96589609452492
437,214000,-29.713704296856854
