fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.01,8,0.0001,10
Performance logging begins:
Episode,Step,Score
73,5000,-559.6912896697515
84,6000,-119.70877155378085
99,7000,-164.20483727813894
114,8000,-154.70695041550601
128,9000,-156.53487256988797
142,10000,-114.48976345553385
156,11000,-96.7404334969122
170,12000,-67.16835009958803
185,13000,-708.8850245070138
198,14000,-107.22245151254492
213,15000,-113.59559140182365
227,16000,-145.05374167434826
241,17000,-115.83234636508509
255,18000,-96.17550814925664
269,19000,-131.08029069954722
281,20000,-157.60807943579337
295,21000,-116.33922743475816
308,22000,-102.02681245946621
321,23000,-260.68791298533216
334,24000,-119.71147266938877
349,25000,-116.38479729469478
362,26000,-106.83943169641006
377,27000,-131.2304597818496
392,28000,-214.79644805239946
406,29000,-81.9168850254322
419,30000,-502.5347996812774
433,31000,-133.83512156669707
446,32000,-119.03244108884881
460,33000,-115.64797127624941
473,34000,-141.93047773709935
488,35000,-95.98172331105467
501,36000,-121.61411208267967
516,37000,-93.51897915799086
526,38000,-153.41374524734334
539,39000,-125.79755578018518
553,40000,-349.88418450881267
566,41000,-94.80135069164007
579,42000,-202.71185985893837
592,43000,-113.55757135403992
605,44000,-271.70586717271954
619,45000,-63.3069009485147
631,46000,-92.68150992378541
644,47000,-84.03503854932544
657,48000,-112.24795954164313
669,49000,-276.7641936585218
682,50000,-80.91598034118614
690,51000,-104.6478081175492
702,52000,-131.6964054377807
714,53000,-35.94110822072797
725,54000,-171.75969888510542
735,55000,-89.28170172518384
748,56000,-124.77923049788188
758,57000,-116.74904356497524
770,58000,-19.24530047145663
782,59000,-51.403317415983196
794,60000,-17.94544629919659
797,61000,-61.66027611422545
805,62000,-87.83484417876994
815,63000,-84.59094470395372
825,64000,-64.18527920794446
831,65000,-25.78970697842746
836,66000,-8.343675296494553
845,67000,-16.91793590562844
853,68000,-143.12886468366503
861,69000,-22.36415216019377
867,70000,-469.1920954626332
875,71000,-1.4626176968046423
877,72000,-21.885340046018953
884,73000,-9.563890264429375
890,74000,-90.38896879094618
894,75000,-0.6904451242759535
898,76000,24.26935443354921
903,77000,-1.6399437442691749
907,78000,3.720267473487368
909,79000,-134.80490801212383
912,80000,-76.73384535780195
915,81000,53.850593727033186
917,82000,94.86343197898961
918,83000,-165.44535261734455
922,84000,-104.5585986608168
924,85000,-155.8300979043073
926,86000,-132.36542994817177
927,87000,-159.33203569538784
929,88000,-70.66914417389042
931,89000,-52.17976248192544
932,90000,-290.475401811198
933,91000,-246.4319688634422
936,92000,-63.50210823357303
939,93000,-188.44820064549822
940,94000,-27.60433274425783
942,95000,-121.9023106443743
943,96000,-219.88023830350852
945,97000,-58.719594866092464
947,98000,-359.5465406313451
948,99000,-159.5534021382071
951,100000,-196.224812476105
952,101000,-178.01125017104297
954,102000,-170.18142945434644
956,103000,-233.87688432899384
959,104000,-103.46161023642875
961,105000,-47.44970324893461
962,106000,-419.04602206231306
965,107000,-293.838498522154
966,108000,-190.81375035046733
969,109000,-242.2033363408155
971,110000,-84.10364406979154
973,111000,-172.8368074429797
975,112000,-211.8242729710765
977,113000,-248.76909301795504
978,114000,-243.2107793662593
979,115000,-187.97355636224682
980,116000,-135.29987595566075
981,117000,-236.87906850238045
982,118000,-174.21975916861672
983,119000,-236.90725202815943
985,120000,-257.1028655243399
986,121000,-116.00613413283408
987,122000,-79.80099810305428
989,123000,-224.93814439626516
990,124000,-92.38671463897228
991,125000,-101.25213856992873
992,126000,-115.47114196453384
993,127000,-115.6764678074922
994,128000,-102.37728751371785
995,129000,-149.95358187140985
996,130000,-139.93076239945105
997,131000,-79.73109337395604
998,132000,-140.0404061772218
999,133000,-124.09009256461637
1000,134000,-120.30457929767277
1001,135000,-93.02509085013646
1002,136000,-148.00993638518747
1003,137000,-151.65804964648916
1004,138000,-157.19083140286705
1005,139000,-91.51230734351753
1006,140000,-170.37762842479688
1007,141000,-129.89559358672503
1008,142000,-111.21456510782387
1009,143000,-196.24687075774762
1010,144000,-91.80142480769663
1011,145000,-154.27320572870047
1012,146000,-129.04737105083916
1013,147000,-133.83791277157303
1014,148000,-164.64028435422185
1015,149000,-168.45496434976027
1017,150000,-173.86146164860983
1018,151000,-178.52588560492097
1019,152000,-102.39431718766295
1020,153000,-186.07207477670698
1021,154000,-149.3778561623326
1022,155000,-122.17896605283258
1023,156000,-119.28102508737553
1024,157000,-146.72896027114578
1025,158000,-99.87809612964185
1026,159000,-154.3434894615866
1028,160000,-75.378829086686
1030,161000,-173.60851930551877
1031,162000,-101.19581283965351
1032,163000,-100.01828630509337
1033,164000,-173.87325709234736
1035,165000,-122.58174191915103
1036,166000,-159.47402066907478
1037,167000,-136.39710175553546
1038,168000,-109.02260366656397
1039,169000,-252.27350564680438
1040,170000,-118.7984653668783
1041,171000,-152.30797540618636
1042,172000,-137.95799918815547
1043,173000,-294.24487845950205
1044,174000,-238.49720639442623
1045,175000,-110.9467212773648
1046,176000,-244.7619062584433
1047,177000,-109.74201446515355
1048,178000,-263.59090762321165
1049,179000,-133.35328588327013
1051,180000,-286.097101702264
1053,181000,-84.8477339662697
1054,182000,-96.07955611492024
1055,183000,-114.06401304404729
1056,184000,-100.84009390449485
1057,185000,-115.4245294570618
1058,186000,-71.69822667874983
1059,187000,-77.57427992503817
1060,188000,-88.92026695400479
1061,189000,-84.70045535617378
1062,190000,-83.6913026699141
1063,191000,135.59415573144142
1064,192000,-83.434167775408
1065,193000,-125.52893736997598
1066,194000,-84.92753756969323
1067,195000,-148.11014771569057
1068,196000,-114.62190166878541
1069,197000,-129.6079696426242
1070,198000,-119.15372633821248
1071,199000,-106.83506639104607
1073,200000,4.7217319357141605
1074,201000,-3.5568043760363905
1075,202000,-139.73670889893828
1076,203000,-181.65668831687302
1077,204000,-115.26085161490845
1078,205000,-100.61320013365204
1079,206000,-106.86718789209331
1080,207000,-103.5759744530411
1081,208000,-100.60304153270569
1082,209000,-141.79182049501313
1083,210000,-95.77486183694491
1084,211000,-82.56700880988805
1085,212000,-72.28070362372343
1086,213000,-91.59970265304918
1087,214000,-96.25667183160206
1088,215000,-163.64037868061757
1089,216000,-134.17275197348175
1090,217000,-89.28176604385159
1091,218000,-302.28034946937146
1092,219000,-115.94459092382469
1093,220000,-125.91183278432439
1094,221000,-98.50365705964819
1095,222000,-154.74477673617366
1096,223000,-127.18330606518505
1097,224000,-17.463205914599925
1098,225000,-6.029110043685137
1100,226000,11.541210012596924
1101,227000,-56.87763839624253
1102,228000,-173.271023618661
1103,229000,-31.36269525272229
1104,230000,-19.649031081622937
1105,231000,-86.97374420800438
1106,232000,-117.78039511827181
1107,233000,-103.55031720729967
1108,234000,-43.70544450075009
1109,235000,-146.73606708885796
1110,236000,-125.0487462158362
1111,237000,-110.41501074484073
1112,238000,-79.97582746839025
1113,239000,-78.83184278059356
1114,240000,-123.23657223901938
1115,241000,-75.75778416104662
1116,242000,-142.28331671748845
1117,243000,-116.94676447518889
1118,244000,-163.49999541857937
1119,245000,25.22090651643653
1120,246000,-116.37279585675017
1121,247000,-89.65430456474085
1122,248000,-213.22843608997727
1123,249000,-127.43319969858291
1124,250000,-206.36503036842652
1125,251000,-112.39082851613898
1126,252000,-102.04305766884715
1127,253000,-117.14886549586275
1128,254000,-119.6135399912186
1129,255000,-124.37020979008626
1131,256000,-137.37434404003247
1133,257000,-147.89937194609124
1135,258000,-112.15190083023336
1136,259000,-141.0748256302769
1137,260000,146.53993613936385
1138,261000,-145.00355056559837
1139,262000,-128.37805280750388
1140,263000,74.86521804972304
1141,264000,-266.94701734653916
1142,265000,-70.02573625559431
1143,266000,-86.73066248716552
1144,267000,-4.062285630518893
1145,268000,-283.3065481111788
1146,269000,-349.8840623776762
1147,270000,37.93642803664033
1148,271000,-216.74941441897477
1149,272000,-130.13373950594513
1151,273000,-120.15677521056864
1152,274000,-92.27226422789253
1153,275000,166.00500872513362
1154,276000,-6.3715451931699505
1155,277000,-100.27615171671972
1156,278000,-127.33437829739425
1157,279000,-90.65736416972324
1160,280000,-254.51998421173894
1161,281000,-80.598780150824
1163,282000,-271.18874999406023
1165,283000,130.78597123317596
1167,284000,-53.755507960785955
1169,285000,-79.9250648207372
1170,286000,122.52642201872875
1172,287000,52.620444055508564
1174,288000,-247.12398610586433
1176,289000,-2.5679683762874532
1179,290000,-263.2980041960005
1181,291000,2.031095386889672
1184,292000,-499.3441108069607
1186,293000,-200.50070982063232
1187,294000,-86.29328857676116
1190,295000,-388.6809830690069
1196,296000,-296.8633815064474
1201,297000,-371.41432145983174
1207,298000,-236.99834804892905
1211,299000,-227.81780969618146
1215,300000,-74.7247301332861
1218,301000,-103.01995693960033
1222,302000,-185.8584697491122
1226,303000,-101.75203604885456
1227,304000,196.01226155926244
1228,305000,-45.897669617024015
1230,306000,156.62382322721015
1232,307000,-26.66619383707024
1234,308000,-50.702407049755905
1236,309000,-117.02289270963622
