fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.01,8,0.0001,20
Performance logging begins:
Episode,Step,Score
56,5000,-428.38301627079375
69,6000,-126.62452211620308
83,7000,-150.6710307220187
98,8000,-137.09666974547702
112,9000,-123.71895731829
126,10000,-135.5158034642674
141,11000,-118.74661474926599
154,12000,-176.57503782516272
168,13000,-132.32487695515016
182,14000,-128.16341631619807
197,15000,-121.2843026966735
211,16000,-136.3266261927326
225,17000,-154.34350541957997
240,18000,-160.98641357213126
253,19000,-171.2517184490031
266,20000,-106.01892344271369
280,21000,-89.88067848359927
295,22000,-138.25980724077715
309,23000,-133.87366419602102
323,24000,-159.95866633911217
337,25000,-172.97463484652846
351,26000,-82.86372412916776
366,27000,-133.26308549783727
380,28000,-116.44153236681433
394,29000,-121.95570505875259
408,30000,-143.22968901709496
424,31000,-106.4790085211912
438,32000,-125.82801967542287
451,33000,-116.7571696760294
466,34000,-145.4955831266125
480,35000,-83.40012685153089
493,36000,-168.6916816291426
499,37000,-142.96069698702854
508,38000,-17.313168819396793
513,39000,-87.92387968436776
515,40000,-376.2097880046994
520,41000,62.65613644242748
527,42000,3.6212967766617226
535,43000,-261.987238364866
542,44000,-341.0186334874162
546,45000,-41.949590019802564
553,46000,-164.31489467441995
559,47000,-146.20545400667055
565,48000,-54.603991045079006
571,49000,-298.55778477756155
575,50000,-376.00765695886736
581,51000,-127.64146617034051
588,52000,-106.23219500963745
594,53000,-97.49763366757367
598,54000,-167.54504611886284
603,55000,-294.82490963662474
607,56000,-401.64243005857986
611,57000,-147.36351756633343
613,58000,-189.09602038105243
617,59000,-91.95026423105216
623,60000,-666.1908420621971
627,61000,-208.55879817298114
632,62000,-185.82556670024422
636,63000,-73.37115629029984
639,64000,-307.378023624678
640,65000,-299.86291232128644
644,66000,-148.17983079375085
645,67000,-206.98532467802897
648,68000,-94.25124665694845
649,69000,-182.49203037538044
651,70000,-362.40276658867737
652,71000,-174.7326081423987
655,72000,-64.03901264970017
656,73000,-148.42037632640267
657,74000,-107.16510748702063
659,75000,-211.34252326244734
663,76000,-238.29177212544397
665,77000,-211.93916787839163
669,78000,-119.32961766977299
674,79000,-86.62371088552071
676,80000,-210.60356606850593
677,81000,-147.68471567621856
678,82000,-94.13496728671879
679,83000,-166.6079457028303
680,84000,-114.95686948922757
681,85000,-148.94389798220413
685,86000,-58.224451821498846
687,87000,-219.2363394864777
690,88000,-133.53363386055943
693,89000,-135.82629571492154
694,90000,-164.42271798719554
696,91000,-72.7178010175013
697,92000,-107.94444457004418
702,93000,-92.65951327233752
703,94000,-114.94994710965946
708,95000,-109.79980019442333
710,96000,-99.49630830774471
711,97000,-72.3716004231877
715,98000,-121.06924453231734
718,99000,-127.06738263566643
719,100000,-54.6517520317558
720,101000,-67.05298605517733
722,102000,-85.48529518461149
725,103000,-81.87879447295003
726,104000,-94.48569600170664
727,105000,22.579843983969084
728,106000,-87.8017220221739
729,107000,-58.34130834652556
731,108000,-115.24104993756964
732,109000,-101.94910843499493
733,110000,-63.75308922646563
734,111000,-69.82804077149056
735,112000,-46.01963541011144
736,113000,-73.97871435079351
737,114000,-111.56598209087409
738,115000,-102.30866761411473
739,116000,-42.43318942368955
742,117000,-60.14763228833288
743,118000,-104.03779508068978
744,119000,-200.2252799762801
745,120000,-73.68835843779942
748,121000,-164.1363637570303
749,122000,-126.12984268924988
750,123000,-95.81794646269793
751,124000,-99.9488419815763
753,125000,-136.75634580392685
757,126000,-14.069025742950387
759,127000,-113.61136820603899
765,128000,-65.09581109309971
766,129000,-117.83829080856209
767,130000,-82.49714057471301
769,131000,-81.44635047757048
774,132000,-39.3415346925983
775,133000,-110.16888599273383
777,134000,-9.234319422548367
778,135000,-91.59937161254457
782,136000,-68.65518595213602
783,137000,-60.72319741400187
787,138000,-47.97470498418399
789,139000,-93.701546238306
792,140000,207.37905778861676
793,141000,-186.08716422165747
794,142000,34.32666956375468
796,143000,-69.1332520835939
798,144000,-48.75135686214371
799,145000,-109.44462455619973
800,146000,-19.007485455372347
801,147000,-247.39499924968163
802,148000,-35.59814324466938
803,149000,-83.40587087416768
804,150000,-52.985282462026774
805,151000,-64.12381092466985
806,152000,-108.06173894193587
807,153000,-147.1089570100346
809,154000,-104.03161962789586
810,155000,-63.17918923196798
811,156000,-65.0896191926287
812,157000,-72.5413705701097
813,158000,-77.93988580966544
814,159000,-38.260147219232024
815,160000,-96.16835230295852
816,161000,-93.21313377642021
817,162000,-129.38461917214323
818,163000,-39.90124333824138
819,164000,-71.22299872392642
823,165000,0.08004671918421025
824,166000,12.518504011919788
828,167000,-219.72815604631865
829,168000,-201.99981564523853
830,169000,-58.95573011544716
832,170000,168.6512951664418
835,171000,220.54278792065247
837,172000,-70.49970492145066
839,173000,-58.15523462360448
841,174000,221.56846811656436
843,175000,165.7358156690372
845,176000,101.31960096468269
848,177000,225.8296020691498
849,178000,227.88670444110775
851,179000,204.55456641977426
853,180000,-164.33554286432798
855,181000,62.90801982152615
858,182000,136.43359360546978
861,183000,-85.86982066454703
863,184000,210.8482271466936
864,185000,152.76286334480176
866,186000,219.92056499012392
870,187000,191.89401575040358
872,188000,192.852132611201
875,189000,240.3328573237231
878,190000,214.123971827759
879,191000,208.8929252652563
881,192000,201.1444453490655
882,193000,217.15193328600344
884,194000,182.7552934389915
885,195000,-86.81441777848933
887,196000,-43.92621883229759
888,197000,-59.94583087367115
889,198000,224.59762289610453
890,199000,-65.84581032811849
892,200000,-52.29131867415651
893,201000,-54.546652354749384
894,202000,-40.22355917614052
895,203000,-89.51902635259576
896,204000,-58.37453138860116
897,205000,-97.0281277445759
898,206000,-54.523094907732975
899,207000,189.678003372972
900,208000,-58.68622941261609
901,209000,-84.91613133985486
902,210000,157.26720190788987
903,211000,-89.22475008372474
904,212000,-39.34724330825334
905,213000,-63.15675960719392
906,214000,-52.15450678383127
908,215000,-36.48587279792757
909,216000,4.597829033899505
910,217000,178.2877976640666
911,218000,-48.961191496007125
913,219000,-81.8264147731165
914,220000,-83.68766383475186
915,221000,-93.48777103910402
916,222000,-34.14301301353939
917,223000,-31.137870519916046
918,224000,-74.38084892030183
919,225000,-43.030166285191
920,226000,-99.1279372250681
921,227000,-124.01094030023803
922,228000,-102.22008202934983
923,229000,9.11702266293553
924,230000,-37.37596572933818
926,231000,248.43881342443797
927,232000,-53.1064682332407
928,233000,-101.20922108910071
929,234000,-82.17169253964164
930,235000,-51.95674911960796
931,236000,-48.08933782057251
932,237000,-67.25822866031044
933,238000,119.42076419597058
934,239000,-96.14499408017676
935,240000,-68.73427968661477
936,241000,-19.000212090525988
937,242000,-53.8605187018912
938,243000,-55.67944058257894
939,244000,-83.80995206328272
940,245000,-16.846702566434786
941,246000,-17.233735233474906
942,247000,117.35967824858463
943,248000,-38.676245231554695
944,249000,-216.2997132425785
945,250000,36.461253819644604
946,251000,-36.580337632023905
947,252000,-101.29791125375024
948,253000,-112.16502796455524
949,254000,4.203555717941773
950,255000,114.95696829730377
951,256000,140.13560295378701
952,257000,-13.255874078683966
953,258000,-29.37802374280158
954,259000,18.593048642601772
956,260000,-34.94308499182746
957,261000,19.86833239710342
958,262000,-46.73772780670257
960,263000,24.709071556122673
961,264000,-10.258217651044522
962,265000,-8.830449199171769
963,266000,-148.2556100774231
964,267000,-231.6204329258158
965,268000,-16.436115258333945
966,269000,-164.67837906142935
967,270000,-203.42153567956998
968,271000,-182.6397497624975
969,272000,-34.21195056702704
