fta params:,lower,upper,delta,eta
,-20,20,2.0,2.0
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,use_target,input_dims,lr,seed
,0.99,0.1,64,4,0.1,False,8,0.0001,0
Performance logging begins:
Episode,Step,Score
73,5000,-661.6037199079183
86,6000,-161.88856353063215
97,7000,-348.5600255733685
107,8000,-168.83423567337854
115,9000,-132.6829893717911
120,10000,-318.06462801036344
127,11000,-251.1305568127844
133,12000,-279.9141274353825
138,13000,-403.365730180532
143,14000,-243.7347440447574
152,15000,-356.26054709244954
160,16000,-205.65175922480532
166,17000,-286.1347816835878
173,18000,-205.07915214963663
181,19000,-247.04655076061488
186,20000,-188.08225119312414
193,21000,-536.2082381193611
201,22000,-163.9911184395984
206,23000,-122.03981901348014
215,24000,-380.33916061860515
225,25000,-80.59852557449713
236,26000,-100.43818240633331
244,27000,-283.5816640169669
253,28000,-19.222729776049775
259,29000,-31.783548277828288
265,30000,-609.0741665817436
272,31000,-173.49618476614964
280,32000,-308.27476609899304
288,33000,-374.94173467471893
294,34000,-138.53888266677126
299,35000,-452.7429382834754
308,36000,-415.7522888938146
315,37000,-391.71043516023906
323,38000,-213.6810461435805
330,39000,-234.2039028176869
337,40000,-161.8027267311998
343,41000,-194.3862618965435
350,42000,-291.6576999873553
358,43000,-292.5041834162339
368,44000,-225.71215421274033
375,45000,-262.60409238369857
383,46000,-340.30596189673605
390,47000,-198.47582248896472
397,48000,-276.3633000627875
406,49000,-219.89451093285678
415,50000,-182.7496920924819
423,51000,-133.74034900726497
430,52000,-223.8123107317183
440,53000,-127.9692531731738
448,54000,-185.5268849806889
455,55000,-130.98016218865348
461,56000,-68.68447443120547
469,57000,-247.79713005594007
477,58000,-168.5738986056819
485,59000,-33.540678702668885
492,60000,-168.24051934535208
500,61000,-229.17682409887425
507,62000,-222.1614350857518
513,63000,-231.16949566211775
520,64000,-201.05139303629568
527,65000,-301.90983859212696
532,66000,-106.90957333656067
539,67000,-201.09662043477186
544,68000,-175.1690885480332
551,69000,-246.03236332288338
557,70000,-180.49606768567418
564,71000,-151.9251533177393
569,72000,-176.83665917591276
573,73000,-198.109831798823
578,74000,-121.28139002920321
584,75000,-89.56052611157389
589,76000,-103.2357124976134
594,77000,-271.792136670427
600,78000,-136.27554484819274
603,79000,-263.9169108887096
607,80000,-133.50445757493884
612,81000,-46.26805337715703
617,82000,-85.39057960217693
620,83000,-192.5679655771234
625,84000,-40.45593529236089
629,85000,-163.71001500501157
633,86000,-176.83941163228968
637,87000,-63.31046547223933
642,88000,-243.8725322768747
646,89000,-168.9936440767624
651,90000,-228.0199559010387
654,91000,-173.85096097877943
656,92000,-133.03112392211364
659,93000,-101.37466798121042
663,94000,233.33355026156025
666,95000,-228.42020671232697
670,96000,-162.1073931102084
673,97000,-118.791962355697
676,98000,-83.48672191967609
678,99000,-193.93047509800326
683,100000,-104.48496232593145
686,101000,-166.72581417645125
687,102000,-83.16429664981827
689,103000,-101.0368012601496
691,104000,-261.02278603955006
693,105000,-155.07898348583146
695,106000,-194.1156494208776
696,107000,-148.68619766215284
