fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,40
Performance logging begins:
Episode,Step,Score
73,5000,-323.09382653698253
87,6000,-154.49254901121748
99,7000,-129.7996395992028
114,8000,-98.87942354210445
129,9000,-149.38069061153513
141,10000,-136.46170892011781
155,11000,-115.9624428621763
168,12000,-132.99480837936636
182,13000,-180.65374262952537
195,14000,25.227666068264256
208,15000,-114.91955200767208
222,16000,-109.9912131530546
235,17000,-324.59015768118775
248,18000,-253.28488887632548
261,19000,-104.7716219910341
274,20000,-74.04802910268684
287,21000,-284.12832400864977
300,22000,-122.63603796629171
313,23000,-172.21678656642973
324,24000,-159.86908973127913
336,25000,-93.71620609660505
347,26000,-120.8509566964252
361,27000,-79.48231202516378
374,28000,-121.02132061525671
386,29000,-107.86382231927051
399,30000,-295.0805864480486
411,31000,-306.6271233806519
423,32000,-99.69586282425266
435,33000,-224.146271268158
447,34000,-65.4224364715531
459,35000,-7.33511989953999
470,36000,-106.35312019483749
482,37000,-110.1775708825114
494,38000,-76.17865597466364
500,39000,-209.36951878149864
511,40000,-59.96259183054187
515,41000,-14.343564385152135
519,42000,-63.068656274494735
527,43000,-11.130741477520644
535,44000,-93.14975357090883
541,45000,-550.9983319914593
552,46000,-34.768358249353525
559,47000,-419.1250794238822
566,48000,-48.629613473709966
572,49000,-49.39444763687888
576,50000,-99.78586530863502
583,51000,-355.45022017854103
587,52000,-36.536387920723655
589,53000,24.00054529729026
594,54000,-250.57746460198646
595,55000,-69.99277386949863
598,56000,-86.62916808920636
599,57000,-358.2924270016248
601,58000,-95.53650288806509
602,59000,-186.32185143004136
604,60000,-57.08821753031479
606,61000,-194.2068105855597
607,62000,-18.76918882589324
609,63000,148.24685042117804
610,64000,-177.00984067783065
612,65000,-194.98176492379162
614,66000,-179.71334339090168
615,67000,233.1608283920437
616,68000,-66.47817900441815
617,69000,-242.3654725710656
618,70000,-218.73745675535088
619,71000,-265.33499137928936
620,72000,-29.560179503046136
622,73000,-65.17921383758485
623,74000,-156.33271957990294
624,75000,-133.82018066611047
625,76000,-35.208317916072225
626,77000,-200.94010779846684
627,78000,-34.01161620514643
628,79000,-25.50865089908301
629,80000,-92.22576722428505
630,81000,-40.151765617106754
631,82000,-60.68245708695074
632,83000,-107.81066160045282
633,84000,-5.128480137866603
634,85000,-46.481525464267875
635,86000,-61.33660323860968
636,87000,15.249303021244657
637,88000,-60.514659533960895
638,89000,-44.33347284208285
639,90000,-217.50978239141514
640,91000,-21.103147566367912
641,92000,-61.945675037572684
642,93000,-50.55821401689857
