fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,30
Performance logging begins:
Episode,Step,Score
63,5000,-667.19128741624
77,6000,-245.52734021263876
89,7000,-107.37942732384062
102,8000,-121.86051357199494
112,9000,-133.20198654995764
120,10000,-138.91411089038206
126,11000,-42.64682021219981
134,12000,-160.6496924673909
141,13000,-247.32010930980874
143,14000,-95.75146361271801
145,15000,-150.2859388349605
147,16000,-148.20823984964886
149,17000,-145.85573340659022
150,18000,-110.22596232814658
152,19000,-135.18111680008744
154,20000,-229.0549900210657
157,21000,-133.10242307498663
159,22000,-177.69530824049434
161,23000,-203.69473737358817
163,24000,-153.04573192723134
164,25000,-108.1115264933024
165,26000,-160.41965789879907
167,27000,-255.35048940712306
168,28000,-275.5366244948128
170,29000,-203.65316344131395
172,30000,-238.19826119191032
175,31000,-231.5496646527241
176,32000,-276.5278910781471
178,33000,-178.15174518199169
180,34000,-442.59731874989944
181,35000,-213.50850342511058
183,36000,-183.96273051967057
185,37000,-168.2981282481444
186,38000,-473.8670976744823
189,39000,-215.74564666393835
190,40000,-122.86623180565029
191,41000,-383.92306602488844
192,42000,-230.265112689565
194,43000,-154.2890413831652
195,44000,-228.64090379499586
197,45000,-218.8575996307958
198,46000,-167.75255898613017
199,47000,-10.493690996345581
200,48000,-141.62313550812007
201,49000,-166.4346377736151
204,50000,-321.9169299645529
206,51000,-270.67574586269063
208,52000,-58.14110176621343
209,53000,-55.3132472585759
211,54000,-49.86966089246575
212,55000,-201.85391399788767
213,56000,-14.444362317199227
214,57000,-217.74578750723555
216,58000,-252.30830380678188
217,59000,159.43614957810374
218,60000,-250.58907841453865
219,61000,-110.3676755228735
220,62000,-65.10511824311892
221,63000,-345.677281484202
222,64000,-71.96199066438541
223,65000,-70.22516669873781
224,66000,-196.42205993061523
225,67000,-20.93913026867404
226,68000,-164.4093487787733
227,69000,-69.38669415724566
228,70000,-294.7001413231526
229,71000,-50.28656882155544
230,72000,-118.85041642983566
231,73000,-53.2472447897345
232,74000,-113.97878860717988
233,75000,-61.52047919178364
234,76000,-57.11414312045079
235,77000,-33.659434594662315
236,78000,-40.77499235013159
237,79000,-49.07860402893933
238,80000,-37.64626575248344
239,81000,-29.77933175721796
240,82000,-57.73097969101251
241,83000,-144.83743882916642
242,84000,-49.92457689662599
243,85000,-93.53456971455398
244,86000,-95.91891273481974
245,87000,-90.1247561515576
246,88000,-84.40588051273043
247,89000,-105.25184398896828
248,90000,-31.691772490755266
249,91000,-116.20359145497392
250,92000,-261.1424831284905
251,93000,-54.995692670601386
252,94000,-20.254179634945128
253,95000,-42.295540523044124
254,96000,-79.89353983706776
255,97000,-46.2915608258265
256,98000,-70.33849590257722
257,99000,-73.92698670091816
258,100000,-103.98272419061514
259,101000,-36.90720372370406
260,102000,-36.568527462662836
261,103000,-71.06959244018957
262,104000,-76.80533309789794
263,105000,-82.59176756054349
264,106000,-69.54446514384173
265,107000,-41.680090214174584
266,108000,-46.999020045402496
267,109000,-68.1378113385694
268,110000,-75.13544525533432
269,111000,-47.42813789831879
270,112000,-109.04155280427712
271,113000,-71.68583419230812
272,114000,-57.9025814043725
273,115000,-13.39379073450621
274,116000,-90.83829191914967
275,117000,-68.56243457464595
276,118000,-139.63130281341935
277,119000,-36.22506021696223
278,120000,-81.19589937537044
279,121000,-34.993781912508695
280,122000,-87.00231874391466
281,123000,-97.97403807996228
282,124000,-95.8633330005626
283,125000,-60.77706606845851
284,126000,-64.2588985543408
285,127000,-72.53123270207695
286,128000,-88.58460460523105
287,129000,-73.60261751671473
288,130000,-53.16420177937188
289,131000,-111.99207732260604
290,132000,-127.44378549219009
291,133000,-30.363343409461105
292,134000,-113.37578024161475
293,135000,-160.37048419555066
295,136000,-133.09612139259903
296,137000,257.10936304695906
297,138000,-104.21794325244817
298,139000,-91.4246936260439
299,140000,-101.01585623821657
300,141000,-97.55112271577626
301,142000,-29.985728196648587
302,143000,32.668277878800325
303,144000,-78.93767666867103
304,145000,-110.21852406495515
305,146000,-127.21841155334756
307,147000,-176.4316130611739
308,148000,-110.716861152999
309,149000,-87.74199304811664
310,150000,-99.06017414080783
311,151000,-156.3774801906376
312,152000,-184.95152395867
313,153000,-76.44747544070492
315,154000,-115.29070221435029
316,155000,10.578462823741845
317,156000,-0.8675866318900156
318,157000,-131.41209634458997
319,158000,-128.42423453543597
320,159000,-159.34806770698285
321,160000,-127.14969710520998
323,161000,-70.57781513929167
324,162000,-29.09921490579703
325,163000,-11.728211223897864
326,164000,-75.87687100676794
327,165000,-76.70568389535919
328,166000,-122.85022659837341
329,167000,-155.04266262748453
330,168000,-106.9045850744996
331,169000,-131.62838315372144
332,170000,-45.411327184643994
333,171000,-89.34537912973705
334,172000,-22.241597077786
335,173000,-61.49002913373405
336,174000,-99.15719400885965
337,175000,-37.48899039048458
338,176000,-53.007200619100594
339,177000,-93.94126023131123
340,178000,-61.548926804933785
341,179000,-57.02272783326341
342,180000,-68.90645184967615
343,181000,29.254203218321866
344,182000,-70.05377719892353
345,183000,-91.16904196517075
346,184000,-92.30492476904291
347,185000,-11.702344162884273
348,186000,-113.63308323865925
349,187000,-127.87005145673439
350,188000,-147.29400895619597
351,189000,-69.55130106764113
353,190000,-214.12124946980572
355,191000,-209.5055502029731
358,192000,-94.10265259188073
359,193000,-65.61441634667204
