fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,50
Performance logging begins:
Episode,Step,Score
72,5000,-424.4597216191735
80,6000,-123.98628587605893
94,7000,-142.5527598069587
108,8000,-40.84338310365186
122,9000,-154.50464090244145
135,10000,-91.43241288273452
142,11000,-152.4019403023043
151,12000,-384.9400338896307
159,13000,-238.52102979603995
166,14000,-291.66752431442944
174,15000,-378.20446549963384
181,16000,-360.21175524472466
187,17000,-143.82350678483652
191,18000,-397.46141422501137
196,19000,-252.7735249318562
202,20000,-376.93265591881607
206,21000,-497.96954561522034
213,22000,-191.04695795828803
217,23000,-163.40272502552253
222,24000,-209.5992173109329
227,25000,-166.36256004923854
234,26000,-179.83302180325245
237,27000,-149.99074080685327
240,28000,-179.7596485249299
246,29000,-245.63262118125655
252,30000,-236.94626864174623
255,31000,-221.65016969171552
261,32000,-227.55800068601718
267,33000,-209.03227386007157
272,34000,-169.34726538492072
277,35000,-165.46493665883276
281,36000,156.76166270340167
286,37000,-127.33288426267308
290,38000,148.4800466639917
293,39000,-371.1706838238635
297,40000,-154.45000122859028
302,41000,-171.85095042683514
305,42000,-101.33770321295111
307,43000,-62.682308117074854
311,44000,-229.61555591390177
315,45000,-280.4804639069693
319,46000,-246.9090249575052
322,47000,-279.1036795659085
326,48000,-204.2901550054062
329,49000,-218.57873969505516
331,50000,-320.93142684686484
334,51000,-316.5777819372305
337,52000,-333.38974184571384
340,53000,-242.96554002127274
343,54000,-115.22299909315512
345,55000,-43.1441347316175
347,56000,-47.037574012368665
350,57000,9.057085427592938
353,58000,-200.0450686418477
355,59000,-61.14594411128042
357,60000,-289.34742114188384
361,61000,-82.01647164685134
363,62000,-175.93932577210805
365,63000,-188.29948097071554
367,64000,-124.25603341109445
370,65000,-193.34327184262335
372,66000,-224.55902793294592
374,67000,-157.01184110454957
375,68000,-204.58978658500172
378,69000,-311.4530145776818
379,70000,-223.61418621079258
380,71000,-118.70765697384873
383,72000,-157.03869972679587
386,73000,-262.2996605749214
389,74000,-135.57035616628508
391,75000,-158.58310128420138
393,76000,-162.9717528250878
396,77000,-179.7439331704
398,78000,-185.93284957473196
400,79000,-195.13138405491418
403,80000,-172.73388067632035
406,81000,-202.2821393437365
409,82000,-128.10354237367042
412,83000,-169.8518808127797
414,84000,-114.53496008545058
416,85000,-107.0076685393718
418,86000,-104.14784473224928
421,87000,-153.20931366962583
423,88000,-272.8525653046713
424,89000,-185.8855366137555
426,90000,-268.4454723681775
428,91000,-156.7111906422223
430,92000,-138.0865251068889
433,93000,-188.54708156017432
