fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,20
Performance logging begins:
Episode,Step,Score
72,5000,-687.0689003577211
84,6000,-832.6124048847986
99,7000,-124.15614907131952
112,8000,-124.62268104153883
126,9000,-149.4513726425443
139,10000,-108.87594318822126
153,11000,-143.67280386261103
166,12000,-78.56676539945155
175,13000,-138.4507948151292
183,14000,-229.02091860861628
193,15000,-259.50784328136456
200,16000,-152.30298106173177
205,17000,-67.53026794542004
211,18000,-71.6556910287339
218,19000,-165.73613657263385
227,20000,-137.12300211657558
233,21000,-143.64420849533414
241,22000,-160.51238931051583
248,23000,-150.4901298113391
254,24000,-336.87484914625713
260,25000,-82.63506317296519
266,26000,-283.9215128971522
273,27000,-87.86072987908155
279,28000,-100.7525285901369
286,29000,-98.78317439118801
293,30000,-316.73590017625236
298,31000,-142.77511395302687
303,32000,-157.40173916738127
306,33000,-196.98991930949245
309,34000,-91.30865773021344
310,35000,-221.42539779111115
311,36000,-121.90548371077395
314,37000,-184.94804275887032
316,38000,-137.09458077792402
320,39000,-140.45033651546197
324,40000,-104.34857870565622
328,41000,-175.6873657845651
331,42000,-147.8047200711129
334,43000,-145.46887686236448
336,44000,-161.39138153923756
337,45000,-173.807306941234
340,46000,-191.3407198399357
343,47000,-141.1816865124436
346,48000,-258.6074689146705
349,49000,-150.97023436974817
351,50000,-130.79353297478076
352,51000,-276.0257914841678
354,52000,-213.1092517979292
355,53000,-165.86545523148862
357,54000,-264.1065620220652
358,55000,-226.91533005162043
360,56000,-139.79111875079536
362,57000,-157.26321298175918
363,58000,-152.41265171724538
364,59000,-52.7855189820086
365,60000,-111.5076777958375
367,61000,-263.2165677725932
368,62000,-203.29795379193047
369,63000,-178.1460500751648
370,64000,-36.608441733644554
371,65000,-83.47581957603896
372,66000,-86.02225085374906
373,67000,-91.44931524924462
374,68000,-104.1630813146036
375,69000,-75.06606588120762
376,70000,-91.55487690962602
377,71000,-22.6003660640692
378,72000,-81.28595843633462
379,73000,-20.57654660639389
380,74000,-110.61490444819539
381,75000,-78.91110264223275
382,76000,-27.02044800322792
383,77000,-70.08267441698338
384,78000,-164.6567495409266
385,79000,-36.56576352348613
386,80000,-124.73064399067461
387,81000,-77.6182183125122
388,82000,-58.335850396291264
389,83000,37.061046344793226
390,84000,-34.83125522728763
391,85000,-125.63799694252266
392,86000,-90.07729888569823
393,87000,-26.70519004108766
394,88000,-71.19672218775892
395,89000,-77.95256429639794
397,90000,182.06008133332614
398,91000,134.33041555471198
399,92000,-163.05045400641924
400,93000,-136.25091483556156
401,94000,-100.47336528863335
403,95000,-168.21048385506293
404,96000,-72.5429382990504
405,97000,138.2029506790862
406,98000,-127.08968277826101
407,99000,-83.65049204102847
408,100000,-88.01718497157907
410,101000,-165.77732635896498
411,102000,-156.23381073292677
412,103000,-89.32350675863512
413,104000,-195.02240883333462
414,105000,-39.09564616488775
415,106000,-259.6117411453028
416,107000,-138.07957001184226
418,108000,-132.06429598837462
419,109000,-118.7585564618457
420,110000,-48.46989888633077
421,111000,114.28083476173157
422,112000,-39.625472757536585
424,113000,-29.611604406064863
425,114000,-63.49194911762453
426,115000,-116.7530394780539
427,116000,-106.23914047232219
428,117000,159.2834222179697
429,118000,-64.13931575468119
430,119000,-88.88483703017808
431,120000,-55.081565165557315
432,121000,-40.66563468245761
433,122000,-26.733594233987613
434,123000,-107.02750718657519
435,124000,-114.44320358132003
436,125000,-72.99708319428451
437,126000,-97.64987933693445
438,127000,-41.79432178489931
439,128000,-49.065568193801134
440,129000,-99.4198374473699
441,130000,-92.48254171440195
442,131000,-39.66693018785725
443,132000,-79.32899916069681
444,133000,-63.42213255587534
445,134000,-88.76279312289842
446,135000,-65.80398338098865
447,136000,-53.28035950249376
448,137000,-79.11494762265897
449,138000,-66.80654468079423
451,139000,157.12638734769004
452,140000,191.6606339289667
453,141000,208.84997519594077
454,142000,-72.04884951435155
455,143000,-14.40052141965506
456,144000,-88.31045593609358
457,145000,-113.44888587893713
458,146000,-88.1078093739016
459,147000,-182.4999515899961
460,148000,90.69310942881994
461,149000,3.7632844598957327
462,150000,-156.18400191288015
463,151000,-160.65763956920955
464,152000,-62.4481407265591
465,153000,-84.81987835090682
466,154000,-144.37429694729798
467,155000,-51.4157793799635
468,156000,75.55694664225798
470,157000,94.31600312862027
471,158000,182.3566478709226
472,159000,126.2340167880149
473,160000,-103.87546742272018
474,161000,145.2473650922967
475,162000,174.53728445464455
476,163000,-90.94753075540991
477,164000,116.78216367316344
479,165000,126.41277419979636
480,166000,159.8902024372607
481,167000,132.66069789862556
483,168000,188.82832951219515
484,169000,62.15395136653676
485,170000,-133.36683777343893
486,171000,-31.93118417951627
487,172000,-108.04973068274259
488,173000,190.62075449961452
489,174000,2.8988446199214444
490,175000,-4.455954142302031
491,176000,-139.67192730076647
492,177000,-167.88610451307508
493,178000,0.6043974293275727
495,179000,-120.140000540861
496,180000,143.51607529201806
497,181000,-100.23594927061812
498,182000,-15.57133151342594
499,183000,-82.5590303913047
500,184000,121.3516301568192
501,185000,-5.73710175792761
503,186000,138.46077931061643
504,187000,-119.30705352982088
505,188000,-23.684642319057055
506,189000,-120.60789201919575
507,190000,113.07254425317704
508,191000,-41.41856499910756
509,192000,-260.88383859021974
510,193000,17.699614380069097
511,194000,-146.54380128057198
512,195000,-98.38363132201883
513,196000,-80.2986108728385
514,197000,-43.22026628583302
515,198000,-30.359421026585284
516,199000,-102.1801534001354
517,200000,114.50277961245668
519,201000,-54.296642725867216
520,202000,171.88419648865084
521,203000,166.33183003240998
522,204000,-94.39283934307595
523,205000,167.6431801743417
524,206000,-28.597360103098485
525,207000,-97.01525618494293
526,208000,-95.48056314901906
527,209000,-54.48403904898591
528,210000,-37.780553401263866
529,211000,-62.00264673620524
530,212000,-58.9485919582397
531,213000,-151.14319438050686
532,214000,130.4207642423707
533,215000,-93.16960928576194
535,216000,166.16830464271902
536,217000,111.94117574277823
537,218000,131.8273529385777
538,219000,-74.54774722120581
539,220000,-60.646362110810486
541,221000,-55.15028969424568
542,222000,-59.126018021986475
543,223000,-144.70516457001452
544,224000,-36.30435540373689
545,225000,157.92543507577722
546,226000,220.73870064413384
547,227000,-32.2092291969671
548,228000,-75.04882495971472
550,229000,201.97866242901011
551,230000,103.68351011141222
552,231000,-124.18078296129659
554,232000,224.80087634327208
555,233000,153.15119722312352
557,234000,-44.536037064076964
558,235000,-48.56282951599691
560,236000,187.75762217617216
562,237000,202.09225952011462
563,238000,201.69448139535248
565,239000,144.3166693104754
567,240000,177.41864542190308
568,241000,122.8027541598363
569,242000,192.856169402854
571,243000,204.29407750205655
573,244000,170.09115785743543
575,245000,117.77939669541169
576,246000,232.57788354999104
577,247000,-123.70596711959456
579,248000,196.44413773826602
580,249000,240.22311078256928
582,250000,-12.496230268730292
583,251000,208.12043195710032
585,252000,123.41015619840184
587,253000,21.034298348026976
589,254000,171.06627675109772
590,255000,188.79579890922457
593,256000,137.35991369880435
594,257000,100.95587953209841
595,258000,248.28550371527123
596,259000,214.55726995536554
597,260000,126.61442049075873
599,261000,180.53607074776704
601,262000,88.08631453537625
602,263000,122.77486342139755
603,264000,164.41152636179288
604,265000,163.098596054312
605,266000,159.1364913428012
606,267000,247.58774333269346
608,268000,180.79063854137206
610,269000,287.2975585266714
612,270000,166.5269757743584
614,271000,188.4493635176623
615,272000,261.66009704284386
617,273000,155.45747000875673
619,274000,197.9534308807838
621,275000,202.0547651185107
