fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,0
Performance logging begins:
Episode,Step,Score
65,5000,-285.74537516579215
79,6000,-229.18883110747754
88,7000,-305.7137364989264
104,8000,-462.9368343095117
115,9000,-208.69707981832508
126,10000,-137.0901773503058
137,11000,-122.37040957376405
149,12000,-142.54174693679715
156,13000,-138.05439068017142
162,14000,-285.9085086718104
166,15000,-132.58276404914517
170,16000,-276.4360032485366
174,17000,-293.6688443221941
179,18000,-306.7061004405654
182,19000,-106.48591776186153
186,20000,-205.47230591028259
191,21000,-435.5124067018736
196,22000,-4.585632291331237
200,23000,-18.2137463443472
202,24000,-247.07231463837064
204,25000,-198.32000426870133
207,26000,-80.11734505645292
209,27000,-213.02927689427582
211,28000,-131.77967277395166
212,29000,-273.48595200615034
213,30000,-157.22377485776641
214,31000,-200.28342992672532
215,32000,-225.13647135465527
216,33000,-138.6632904456627
217,34000,-158.2126833089303
218,35000,-127.79095835197717
219,36000,-168.69293705593645
221,37000,-92.29465446697397
222,38000,-130.19319048478513
223,39000,-98.18992827489579
224,40000,-91.63576574504653
225,41000,-295.37419990982266
226,42000,-153.6400457061891
227,43000,-170.62668727921528
229,44000,-132.5955319315751
230,45000,-247.81421869645374
232,46000,-161.62967777495837
234,47000,-223.4591237665211
235,48000,-243.8569596864413
238,49000,-292.35317221062803
239,50000,-238.37463970301542
240,51000,-245.51374364773486
242,52000,-176.6249887864247
243,53000,-214.96004203813092
244,54000,-216.77514946547683
247,55000,-120.38627733905321
249,56000,-204.12332050151076
251,57000,-184.1468183243706
252,58000,-197.02353865778116
253,59000,-229.7713517462946
254,60000,-212.7310314341306
255,61000,-118.10985576938275
256,62000,-230.95038489732437
257,63000,-91.5888194017109
258,64000,-44.981765610691156
259,65000,-61.47809667714617
260,66000,-73.70871556206303
262,67000,-240.27924002322564
263,68000,-60.353264057081915
264,69000,-83.59292678572736
265,70000,-112.23160101768134
266,71000,-96.23869687882993
267,72000,-95.16709822523426
268,73000,-62.809586718007985
269,74000,-185.27911611700765
271,75000,-72.53983885102
272,76000,-98.95049928829674
273,77000,-78.52945209200486
274,78000,-232.18728640454452
275,79000,-114.65595295304631
276,80000,-142.25307866083259
277,81000,-178.49095325952737
278,82000,-257.19161854077436
279,83000,-179.82993366532614
280,84000,-104.5339182080336
281,85000,-153.6046021733196
282,86000,-81.98810676393843
283,87000,-83.10412628315004
284,88000,-105.5895178085629
285,89000,-70.23092738205293
286,90000,-74.2204047951946
287,91000,-129.51542578322372
288,92000,-149.75788931670803
289,93000,-86.35345873517723
