activation:,agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,<function relu at 0x7fe9410cacb0>,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
0,-97.81,-97.81,1.0
1,-358.09,-227.95,1.0
2,-144.1,-200.0,1.0
3,-312.32,-228.08,1.0
4,-120.17,-206.5,0.99
5,-434.29,-244.46,0.98
6,-151.47,-231.18,0.98
7,-109.51,-215.97,0.97
8,-127.9,-206.18,0.97
9,-115.84,-197.15,0.96
10,-124.99,-190.59,0.96
11,-225.4,-193.49,0.95
12,-108.57,-186.96,0.95
13,-93.74,-180.3,0.95
14,-19.78,-169.6,0.94
15,-150.16,-168.38,0.93
16,-141.28,-166.79,0.93
17,-213.15,-169.36,0.93
18,-207.49,-171.37,0.92
19,-146.84,-170.14,0.91
20,-91.86,-166.42,0.91
21,-83.72,-162.66,0.91
22,-63.92,-158.36,0.9
23,-129.72,-157.17,0.89
24,-131.13,-156.13,0.89
25,-72.03,-152.89,0.89
26,-47.79,-149.0,0.88
27,-145.44,-148.87,0.88
28,-293.24,-153.85,0.87
29,-118.76,-152.68,0.87
30,-97.18,-150.89,0.87
31,-63.84,-148.17,0.86
32,-117.6,-147.25,0.85
33,-101.14,-145.89,0.85
34,-441.63,-154.34,0.84
35,-49.67,-151.43,0.84
36,-106.24,-150.21,0.83
37,-82.23,-148.42,0.83
38,-116.3,-147.6,0.82
39,-42.54,-144.97,0.82
40,-106.64,-144.04,0.81
41,-47.85,-141.75,0.81
42,-79.37,-140.3,0.8
43,-83.78,-139.01,0.8
44,-59.83,-137.25,0.79
45,-91.33,-136.25,0.79
46,3.78,-133.27,0.78
47,-93.52,-132.45,0.78
48,-83.44,-131.45,0.77
49,-132.54,-131.47,0.77
50,-66.83,-130.2,0.76
51,-100.36,-129.63,0.75
52,-66.87,-128.44,0.75
53,-153.14,-128.9,0.74
54,-170.94,-129.66,0.74
55,-148.87,-130.01,0.73
56,-158.44,-130.51,0.72
57,-229.48,-132.21,0.72
58,-69.01,-131.14,0.71
59,-45.16,-129.71,0.7
60,-35.26,-128.16,0.69
61,-133.17,-128.24,0.69
62,-63.51,-127.21,0.68
63,-88.14,-126.6,0.68
64,-109.9,-126.35,0.67
65,-41.41,-125.06,0.67
66,-53.0,-123.98,0.66
67,-263.55,-126.04,0.65
68,-94.09,-125.57,0.64
69,-63.12,-124.68,0.63
70,-296.57,-127.1,0.63
71,-236.03,-128.61,0.62
72,-186.58,-129.41,0.61
73,-1.16,-127.68,0.6
74,-55.14,-126.71,0.6
75,-149.81,-127.01,0.59
76,-168.91,-127.56,0.59
77,-112.12,-127.36,0.58
78,-254.18,-128.96,0.57
79,-142.42,-129.13,0.56
80,-36.02,-127.98,0.55
81,-63.45,-127.2,0.54
82,-125.64,-127.18,0.53
83,-53.64,-126.3,0.52
84,-76.96,-125.72,0.51
85,-36.77,-124.69,0.5
86,-269.55,-126.35,0.5
87,-63.67,-125.64,0.49
88,-42.44,-124.7,0.48
89,-59.47,-123.98,0.48
90,-101.71,-123.74,0.47
91,-50.02,-122.93,0.46
92,-44.7,-122.09,0.45
93,5.6,-120.73,0.44
94,-57.76,-120.07,0.44
95,-79.17,-119.65,0.42
96,-11.31,-118.53,0.41
97,-216.75,-119.53,0.38
98,38.86,-117.93,0.36
99,101.73,-115.73,0.31
100,-15.59,-114.91,0.31
101,-18.42,-111.52,0.3
102,-24.86,-110.32,0.28
103,1.68,-107.18,0.23
104,56.78,-105.41,0.22
105,-307.92,-104.15,0.17
106,-206.97,-104.7,0.12
107,-41.13,-104.02,0.11
108,-118.64,-103.93,0.06
