fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,0.1,64,4,0.1,8,0.0001,20
Performance logging begins:
Episode,Step,Score
73,5000,-1063.3872599921585
87,6000,-155.09189233094446
99,7000,-371.44464048064856
105,8000,-331.68975637805045
111,9000,-515.0127461220741
117,10000,-413.58268512602365
118,11000,-291.169511080102
121,12000,-47.5734872549353
123,13000,-219.5878095393481
126,14000,-193.20019009296564
129,15000,-103.44868100282594
130,16000,-200.36304572222357
132,17000,-138.99040005695127
134,18000,-234.93872670811226
135,19000,-161.6302648330308
136,20000,-54.901930749110356
137,21000,-232.34989155764916
138,22000,-127.05027516830486
140,23000,-126.62006621424104
141,24000,-169.65310325503037
144,25000,-169.87427849584114
145,26000,-172.05268447658773
146,27000,-115.77543690274605
148,28000,-140.92320789587797
150,29000,-25.548160922334507
151,30000,-136.52326520834484
154,31000,23.93235185167876
156,32000,-67.78911839577498
159,33000,-185.42574886822723
162,34000,-212.58794822244477
163,35000,-94.86451730478944
164,36000,-153.9061318118846
168,37000,-219.5024227160169
170,38000,-84.08303298084246
171,39000,-123.82370596344987
174,40000,-131.86169803547077
176,41000,-0.04720058989370113
177,42000,55.31119819691632
178,43000,-111.65773371531893
181,44000,-129.1017273693026
182,45000,-159.38905960872052
183,46000,-17.709021744265467
186,47000,5.404177847727766
187,48000,-90.75201432448239
188,49000,7.90901909010223
191,50000,-165.52555268731766
192,51000,-22.607185270205807
193,52000,-168.14793182029499
195,53000,0.9499809658053773
197,54000,-142.53437730046338
199,55000,-59.629247727965236
200,56000,-103.88754543482484
201,57000,-51.62222338322693
203,58000,-212.77015474976122
204,59000,-87.72099832494752
207,60000,-64.78085682391898
208,61000,-31.259555618350852
209,62000,-177.1442425986476
211,63000,-147.366834850999
212,64000,-100.639524361467
214,65000,-93.22710446730932
215,66000,-222.04771475215534
216,67000,-108.41971146586376
218,68000,-127.85900824975536
219,69000,-75.24296273235218
220,70000,-95.70015009968378
222,71000,-66.29223714477024
224,72000,-201.00361600962464
226,73000,-139.39427098114652
227,74000,-77.19821227782997
228,75000,-83.14392663849776
229,76000,-79.80466991171035
230,77000,-100.3344939082177
231,78000,-131.81275113455027
232,79000,-105.87423031507444
233,80000,-88.03909345845886
