fta params:,lower,upper,delta,eta
,-20,20,2,2
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
0,-105.11,-105.11,1.0
1,-157.61,-131.36,0.99
2,-119.57,-127.43,0.99
3,-46.41,-107.18,0.99
4,-193.85,-124.51,0.98
5,-257.37,-146.65,0.98
6,-119.2,-142.73,0.97
7,-80.28,-134.92,0.97
8,-120.52,-133.32,0.97
9,-51.78,-125.17,0.96
10,-56.43,-118.92,0.96
11,-127.1,-119.6,0.96
12,-223.53,-127.6,0.95
13,-360.76,-144.25,0.95
14,-99.2,-141.25,0.94
15,-150.29,-141.81,0.93
16,-135.72,-141.45,0.93
17,-53.66,-136.58,0.93
18,-60.91,-132.59,0.92
19,-193.89,-135.66,0.92
20,-181.41,-137.84,0.91
21,-299.35,-145.18,0.91
22,-281.92,-151.12,0.9
23,-67.76,-147.65,0.9
24,-63.17,-144.27,0.9
25,-131.33,-143.77,0.89
26,-258.54,-148.02,0.88
27,-357.15,-155.49,0.88
28,-72.98,-152.65,0.87
29,-126.04,-151.76,0.86
30,-84.11,-149.58,0.86
31,-70.81,-147.12,0.86
32,-71.13,-144.81,0.85
33,-231.86,-147.37,0.85
34,-224.68,-149.58,0.84
35,-69.41,-147.36,0.83
36,-169.58,-147.96,0.83
37,-76.52,-146.08,0.83
38,-107.39,-145.09,0.82
39,-345.27,-150.09,0.82
40,-78.32,-148.34,0.81
41,-124.58,-147.77,0.8
42,-106.27,-146.81,0.8
43,-98.17,-145.7,0.8
44,-52.55,-143.63,0.79
45,-115.15,-143.01,0.79
46,-119.97,-142.52,0.78
47,-80.16,-141.22,0.77
48,-98.96,-140.36,0.77
49,-95.9,-139.47,0.76
50,-60.89,-137.93,0.76
51,-67.38,-136.57,0.75
52,-89.16,-135.68,0.75
53,-97.25,-134.97,0.75
54,-111.07,-134.53,0.74
55,-108.43,-134.07,0.74
56,-67.43,-132.9,0.73
57,-122.29,-132.72,0.72
58,-100.54,-132.17,0.72
59,-87.83,-131.43,0.71
60,-99.59,-130.91,0.71
61,-81.87,-130.12,0.71
62,-55.19,-128.93,0.7
63,-48.07,-127.67,0.69
64,-60.34,-126.63,0.69
65,-63.14,-125.67,0.68
66,-225.74,-127.16,0.68
67,-75.73,-126.41,0.67
68,-170.99,-127.05,0.67
69,-43.44,-125.86,0.66
70,-26.99,-124.46,0.66
71,-59.49,-123.56,0.65
72,18.19,-121.62,0.65
73,-84.04,-121.11,0.64
74,-63.03,-120.34,0.64
75,-75.38,-119.75,0.63
76,-61.81,-118.99,0.62
77,-76.64,-118.45,0.62
78,-49.71,-117.58,0.61
79,-33.81,-116.53,0.61
80,-55.21,-115.78,0.6
81,-77.95,-115.32,0.59
82,-0.84,-113.94,0.59
83,-183.62,-114.77,0.58
84,17.93,-113.2,0.57
85,-28.52,-112.22,0.57
86,-47.1,-111.47,0.57
87,-65.39,-110.95,0.56
88,-7.01,-109.78,0.55
89,-57.06,-109.19,0.54
90,-72.44,-108.79,0.54
91,-22.58,-107.85,0.53
92,-19.41,-106.9,0.53
93,-55.37,-106.35,0.52
94,-14.78,-105.39,0.52
95,-21.45,-104.52,0.51
96,-75.48,-104.22,0.5
97,-225.2,-105.45,0.5
98,-17.45,-104.56,0.5
99,-19.92,-103.72,0.49
100,-24.89,-102.91,0.48
101,-48.46,-101.82,0.47
102,-19.23,-100.82,0.46
103,21.54,-100.14,0.46
104,-29.17,-98.49,0.45
105,-33.85,-96.26,0.44
106,-32.87,-95.39,0.44
107,-54.65,-95.14,0.43
108,-13.52,-94.07,0.42
109,-79.61,-94.35,0.42
110,-57.55,-94.36,0.41
111,-9.3,-93.18,0.39
112,47.5,-90.47,0.38
113,-9.39,-86.95,0.38
114,34.29,-85.62,0.37
115,-34.9,-84.47,0.36
116,-32.45,-83.43,0.35
117,-9.58,-82.99,0.34
118,43.88,-81.94,0.34
119,27.63,-79.73,0.33
120,-26.97,-78.19,0.31
121,-33.39,-75.53,0.31
122,-4.35,-72.75,0.29
123,-51.95,-72.59,0.29
124,-63.72,-72.6,0.28
125,-74.95,-72.03,0.27
126,-35.23,-69.8,0.26
127,-92.69,-67.16,0.25
128,146.06,-64.97,0.2
129,260.95,-61.1,0.14
130,-45.14,-60.71,0.13
131,-13.05,-60.13,0.12
132,181.79,-57.6,0.08
133,-51.21,-55.79,0.07
134,-39.92,-53.94,0.06
135,-178.26,-55.03,0.02
136,-412.38,-57.46,0.01
137,-638.68,-63.08,0.01
138,-517.98,-67.19,0.01
139,-487.25,-68.61,0.01
140,-1773.08,-85.56,0.01
141,-1875.93,-103.07,0.01
142,-7277.8,-174.78,0.01
143,-7.64,-173.88,0.01
144,-2101.06,-194.36,0.01
145,-885.53,-202.07,0.01
146,-2246.21,-223.33,0.01
147,-167.87,-224.21,0.01
148,-209.84,-225.32,0.01
149,-494.73,-229.31,0.01
150,-362.29,-232.32,0.01
