fta params:,lower,upper,delta,eta
,-0.25,0.25,0.045454545454545456,0.045454545454545456
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
0,-308.9,-308.9,1.0
1,-92.25,-200.58,1.0
2,-55.21,-152.12,0.99
3,-422.56,-219.73,0.98
4,-124.54,-200.69,0.98
5,-210.68,-202.36,0.98
6,-178.46,-198.94,0.97
7,-97.78,-186.3,0.97
8,-166.16,-184.06,0.96
9,-67.16,-172.37,0.96
10,-122.49,-167.84,0.95
11,-395.8,-186.83,0.95
12,3.11,-172.22,0.94
13,-61.85,-164.34,0.94
14,-158.7,-163.96,0.93
15,-265.34,-170.3,0.93
16,-114.42,-167.01,0.92
17,-110.0,-163.84,0.92
18,-256.12,-168.7,0.91
19,-90.53,-164.79,0.91
20,-136.97,-163.47,0.9
21,-293.25,-169.37,0.9
22,-206.46,-170.98,0.89
23,-86.99,-167.48,0.89
24,-118.97,-165.54,0.88
25,-240.01,-168.4,0.88
26,-114.94,-166.42,0.87
27,-163.22,-166.31,0.87
28,-86.87,-163.57,0.86
29,-182.27,-164.19,0.86
30,-19.49,-159.53,0.85
31,-223.03,-161.51,0.84
32,-104.42,-159.78,0.84
33,-140.74,-159.22,0.83
34,-91.06,-157.27,0.83
35,-97.85,-155.62,0.82
36,-49.38,-152.75,0.81
37,-123.47,-151.98,0.81
38,-45.66,-149.25,0.81
39,-123.2,-148.6,0.8
40,-112.42,-147.72,0.8
41,-161.39,-148.05,0.79
42,-93.08,-146.77,0.78
43,-57.56,-144.74,0.78
44,-56.91,-142.79,0.78
45,-119.67,-142.29,0.77
46,-343.89,-146.57,0.77
47,-109.71,-145.81,0.76
48,-67.85,-144.22,0.75
49,-61.35,-142.56,0.75
50,-70.67,-141.15,0.75
51,-169.96,-141.7,0.74
52,-51.47,-140.0,0.74
53,-118.91,-139.61,0.73
