fta params:,lower,upper,delta,eta
,-2,2,0.2857142857142857,0.2857142857142857
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
0,-140.85,-140.85,1.0
1,-85.18,-113.02,1.0
2,-230.32,-152.12,0.99
3,-144.06,-150.1,0.99
4,-375.11,-195.1,0.98
5,-233.12,-201.44,0.98
6,-89.84,-185.5,0.97
7,-216.39,-189.36,0.97
8,-322.13,-204.11,0.96
9,-87.5,-192.45,0.96
10,-92.94,-183.4,0.96
11,-91.12,-175.71,0.95
12,-130.43,-172.23,0.95
13,-124.86,-168.85,0.94
14,-150.09,-167.6,0.94
15,-160.69,-167.16,0.94
16,-115.37,-164.12,0.93
17,-134.03,-162.45,0.93
18,-159.31,-162.28,0.92
19,-287.74,-168.55,0.92
20,-54.92,-163.14,0.91
21,-36.55,-157.39,0.91
22,-153.18,-157.21,0.9
23,-171.5,-157.8,0.9
24,-118.82,-156.24,0.89
25,-115.23,-154.67,0.89
26,-101.74,-152.71,0.88
27,-191.33,-154.08,0.88
28,-80.5,-151.55,0.87
29,-266.71,-155.39,0.87
30,-106.58,-153.81,0.86
31,-138.95,-153.35,0.86
32,-114.62,-152.17,0.85
33,-122.47,-151.3,0.85
34,-153.59,-151.37,0.85
35,-126.53,-150.68,0.84
36,-65.36,-148.37,0.83
37,-273.15,-151.65,0.83
38,-97.02,-150.25,0.82
39,-72.67,-148.31,0.81
40,-119.44,-147.61,0.81
41,-258.5,-150.25,0.8
42,-158.18,-150.43,0.8
43,-164.11,-150.74,0.79
44,18.72,-146.98,0.79
45,-54.23,-144.96,0.78
46,-90.76,-143.81,0.77
47,-97.49,-142.84,0.77
48,-68.06,-141.32,0.76
49,-156.8,-141.63,0.76
50,-123.72,-141.28,0.75
51,-96.57,-140.42,0.75
52,-32.04,-138.37,0.74
53,-36.57,-136.49,0.74
54,131.21,-131.62,0.71
55,-86.01,-130.8,0.71
56,-100.62,-130.28,0.7
57,-74.88,-129.32,0.69
58,-232.06,-131.06,0.69
59,-83.17,-130.26,0.68
60,-160.01,-130.75,0.67
61,-84.34,-130.0,0.67
62,-77.25,-129.17,0.66
63,-80.23,-128.4,0.66
64,-67.46,-127.46,0.65
65,-104.54,-127.12,0.64
66,-97.52,-126.67,0.64
67,-74.14,-125.9,0.63
68,-71.57,-125.11,0.63
69,-70.9,-124.34,0.62
70,-39.77,-123.15,0.62
71,-48.51,-122.11,0.61
72,-44.44,-121.05,0.6
73,-55.62,-120.16,0.6
74,-49.52,-119.22,0.59
75,-190.07,-120.15,0.59
